,TVD_capital,TNT_capital,THT_capital,SPI_capital,SHN_capital,SQC_capital,HGM_capital,NBC_capital,MIC_capital,MDC_capital,LCM_capital,DHM_capital,KSB_capital,BMC_capital,BKC_capital,AMC_capital,HLC_capital,BMJ_capital,ACM_capital,ATG_capital,GLC_capital,BCB_capital,AAH_capital,CST_capital,KCB_capital,D17_capital,HPM_capital,LMC_capital,VBG_capital,MSR_capital,KSV_capital,KHD_capital,MTA_capital,MIM_capital,KSH_capital,MVB_capital,VIM_capital,VDB_capital,CLM_capital,MGC_capital,TMB_capital,YBM_capital,VPG_capital
2019-03-31,0.004339887175721311,0.0031250384635488635,0.0032572331852549967,0.0004923334254593606,0.031074551269253143,0.234407190327204,0.009013058504716249,0.0046132281359601126,0.0009231251727363011,0.0029532545930206185,0.00047842660467528126,0.004266356858931926,0.05333612109143073,0.0033233571875271907,0.0025559777510049267,0.0009920198825976595,0.0031669187744158603,0.005482804056251969,0.0008152274252736165,0.0005912263732572581,0.003272898339701431,6.681667916948465e-05,2.6641419126588777e-20,2.6641419126588777e-20,0.0007864546926169006,2.6641419126588777e-20,0.0012047249729043444,0.00027573868796019384,0.001328873986034248,0.5350232092051005,0.048647231325151113,0.0008325709891250258,0.004781149000715,0.0012373340699152891,0.0018382579197346255,0.006042273857910335,0.00012953057979347464,0.00021787352561724297,0.0027898894109363763,0.001654432127761163,0.0017623298752238476,0.002674425500441741,0.016226648995946186
2019-06-30,0.00481039037587484,0.002890442791033106,0.003140431582220303,0.00042422340322675764,0.03272580539177844,0.2468632298697718,0.01010005219182372,0.004931035920443297,0.0009104530049410242,0.00368058693664633,0.0004417310357408778,0.004140667318002969,0.04731145893065737,0.0038930914377071414,0.001903955035910567,0.0010479889257490643,0.004019348402953199,0.005273332581777057,0.0007154561363943333,0.0004904381672224683,0.002945995855741372,7.036721529713678e-05,2.8057103388013075e-20,2.8057103388013075e-20,0.00040402228878738824,2.8057103388013075e-20,0.001268742215205951,0.00040823085429559015,0.0013994883169940917,0.51318372425389,0.04926827354935094,0.0024508160380463293,0.004726303237020966,0.0010703223800459228,0.0010970327424713112,0.012402642552671178,0.0004355023587887389,0.00022945099150717085,0.003141834437389703,0.001787798627884193,0.0017591803824284194,0.0025677861020709566,0.01966836616023782
2019-09-30,0.004757868126169147,0.002741060692687448,0.0030994867581921903,0.0006907719649845577,0.03501790940860492,0.25841097836365345,0.010572511628361864,0.004998698488111042,0.000969195359034456,0.0035322178012229073,0.00044071956235366803,0.003873257089377698,0.04545913912015213,0.004293711657860646,0.001993018092850854,0.0011140460108756056,0.0038269119294820505,0.00687688161569448,0.000748923686526625,0.00044641725628253724,0.0030838034151096324,7.365884728661865e-05,2.936955633437746e-20,2.936955633437746e-20,0.0006014885137280503,2.936955633437746e-20,0.001395053925882929,0.0004185161777648787,0.0014649534699587472,0.49296165924835733,0.05468611389461082,0.0010612689181427291,0.004624031057953388,0.0011982778984426,0.0011821246424586925,0.012551079899496205,0.0004722918354131238,0.00024018423170253878,0.003052965380958536,0.0018714281296265314,0.002581584001791778,0.0022091192883592035,0.020406672610477482
2019-12-31,0.005751350801169816,0.002359528533813258,0.00323654447046223,0.0004857852863733178,0.034102127103406904,0.254418477421683,0.010329009651512669,0.005402915521360382,0.0009542210982333028,0.0032053732479199416,0.0004837033494317179,0.003441152606556134,0.036056834565242404,0.003768421527459302,0.001996057042758936,0.0009970453844903792,0.003554791664618464,0.008319073029143068,0.0005898821334533145,0.00028129281344283543,0.0030361580398332363,7.252080346573102e-05,2.891579085555463e-20,2.891579085555463e-20,0.0006569667682382012,2.891579085555463e-20,0.001417452067739288,0.00042072475694831987,0.0014423196478750649,0.5085477969348104,0.05384120257304272,0.0011450653178799633,0.004266062288083397,0.0011797642669066288,0.0006650631896777565,0.01129450790817964,0.0004886768654588734,0.00023647333761672574,0.004787009176137069,0.0018425141933159411,0.003452545428153223,0.001203272804872195,0.020270316379234064
2020-03-31,0.005622585595597184,0.002045996425064531,0.0034277560224139046,0.00036013946952191114,0.032147959993649784,0.26944924630403805,0.01009805348291616,0.0049516114648807666,0.0010105954501890364,0.0023396203395012727,0.0004520117831754599,0.004125250627671646,0.02739656892432465,0.0026695644419357178,0.0021498121394930405,0.0010266424809738561,0.003935932413336233,0.008810554879375328,0.0006247317328441316,0.00025136265015610943,0.003215530977874207,7.680525421436677e-05,3.0624104551182925e-20,3.0624104551182925e-20,0.000695779655402876,3.0624104551182925e-20,0.0015011936050989866,0.0004639551839504212,0.001527530335013004,0.4914654295508399,0.057022082674302595,0.000778158496645558,0.003877470997748025,0.001249463465688263,0.0007043544046772071,0.022540872154898188,0.00039293788549622804,0.0002504439270195739,0.004577997389356335,0.0019513679420013759,0.002990443809423012,0.001112328725508066,0.020709856943782964
2020-06-30,0.00570348641884425,0.0023022292211225194,0.003459594227759225,0.0005347561086770257,0.02625166351687216,0.2546052542102639,0.010292839737240295,0.0051606279448842395,0.0009549216226375456,0.0035668926937210427,0.00044846591841323283,0.007905014814306808,0.045087579334454356,0.0031181374051191327,0.0020313787245198694,0.001097638999693557,0.004035151533039854,0.010452051215050955,0.0010330515735806176,0.0002858977464139076,0.0030383869811194636,7.257404332045347e-05,2.8937018867804416e-20,2.8937018867804416e-20,0.0003958584181115644,2.8937018867804416e-20,0.0014184926648997723,0.0006076773962238927,0.0015080816753144947,0.4834750813202573,0.053880729131851816,0.0007639372981100365,0.011565055771763314,0.00118063036980642,0.000831939292449377,0.0237905700621654,0.000467969469130133,0.00023664694030090447,0.004115712193567821,0.0019094960010486782,0.0037675998565881346,0.00130346801490025,0.017343460132456315
2020-09-30,0.005555318263232643,0.0020485989257040113,0.0035902700388122464,0.000494877230679871,0.03088805156685013,0.23561833343397798,0.009525261969608697,0.004528073102578971,0.0007069674723998156,0.0035702392937609177,0.0004479602984206105,0.006516686909412694,0.059616210389235126,0.0029520176624040183,0.0017232332139745505,0.0009684115418331264,0.003570989107746796,0.015802329752391334,0.0010925860937088061,0.00027271805829241373,0.0028118024470447215,6.716190987798249e-05,2.6779070924235443e-20,2.6779070924235443e-20,0.0004263228091138282,2.6779070924235443e-20,0.0013127100567060213,0.0007953384064497927,0.0017963400775977134,0.4709688761587136,0.04595288570598802,0.0007688271262347994,0.02170004521646125,0.0011199007460515262,0.0013858169203291842,0.03202642987183938,0.0005392501512013291,0.00021666946284798895,0.004094519944315599,0.0017670973321484487,0.005667790361114431,0.001256045542630339,0.015837035428309144
2020-12-31,0.006082112006416557,0.0020623139681377766,0.003433014332510679,0.0006276607729114972,0.024209772669443463,0.1933661091225175,0.0071996382775142325,0.004407251099428279,0.0005681033256219259,0.002525543441927291,0.0005136005694307315,0.006528111576635953,0.06139577251129757,0.0031393587566127994,0.0012599366985649907,0.0009215800718232048,0.0032376395330995017,0.012091700184030316,0.0013449873705246368,0.0002037699820180463,0.0023075763709981515,5.511810989012728e-05,2.1976917819030016e-20,2.1976917819030016e-20,0.0003832774467638835,2.1976917819030016e-20,0.0010773085114888512,0.0003362468426311592,0.0014742116473005333,0.5314546174669115,0.05283251043694816,0.0005801906304223924,0.01805065354298903,0.0003437189946896294,0.0022746109942696066,0.021460460250282812,0.0004531200915927608,0.00017781524207377184,0.004552078987855687,0.001450212853042153,0.004288795512383707,0.001668773300752406,0.019660726496246804
2021-03-31,0.005716107731186018,0.006607820537251037,0.0031925096801755154,0.004837097386745857,0.030181048820662176,0.18627313142079,0.007413029579650774,0.004974072264600574,0.0007452110819916588,0.002645838073380384,0.000973897732777849,0.006780574015349103,0.06028198745001025,0.0038353812630095695,0.0013127994089290552,0.00108546768738285,0.0037050116651997783,0.01636077057281687,0.002159418476225829,0.00019629537364280282,0.002222930784350118,5.309628959190568e-05,2.117076937476303e-20,2.117076937476303e-20,0.0006571406813926444,2.117076937476303e-20,0.0009412524064019642,0.0003016834635903732,0.001420135209659104,0.48868910363153,0.06884734200672939,0.0007126080971545236,0.018950230887352263,0.00047507206476968234,0.0029215661737172984,0.026008290176896383,0.00047640582324029245,0.00017129269501120766,0.004892776510201484,0.001397016729501863,0.0038583727185505625,0.0017498487719016637,0.025976364656679244
2021-06-30,0.008244281228504272,0.00897922979745207,0.004625600654430483,0.005286533126363681,0.03502733605198021,0.16985864141697152,0.006645464034306246,0.009192938246578736,0.0007432498004856913,0.0038545127705084175,0.0012062654684038424,0.006304302723288502,0.04858730124317891,0.0031383288458741794,0.0012197018803814538,0.0008610500675652676,0.0046485352197026125,0.011513615091160162,0.0031506069464744112,0.00041081443517754565,0.0020270449104155216,4.841741557449646e-05,1.930518962300497e-20,0.008717065322371664,0.00124325421172152,1.930518962300497e-20,0.0008583087306388008,0.00031853562877958195,0.0009164559617832917,0.43713744733230553,0.11374617725874527,0.0006307005449835724,0.014219604215427145,0.0005841750379921303,0.0031081355293037997,0.03695302871687496,0.00045048659985282095,0.00015451873774253175,0.0050243686512832725,0.0010195456743701382,0.0036515766171913893,0.0015100712375010717,0.034182772616353
