,VCB_capital,STB_capital,SHB_capital,NVB_capital,MBB_capital,EIB_capital,CTG_capital,BID_capital,ACB_capital,BVB_capital,ABB_capital,KLB_capital,LPB_capital,BAB_capital,HDB_capital,OCB_capital,MSB_capital,PGB_capital,SSB_capital,NAB_capital,SGB_capital,TCB_capital,TPB_capital,VAB_capital,VIB_capital,VBB_capital,VPB_capital
2022-09-30,0.23605216497696788,0.026463006742270843,0.021936593441671533,0.0069432827662168715,0.06002254748871886,0.02819070968372359,0.0759654598012429,0.1168416548448907,0.047420788820032596,0.0035344682578969623,0.006537844997991005,0.006010528544031129,0.015179774298200131,0.008858118484330947,0.030107934458486346,0.014282075019036307,0.01734485109400362,0.004149844549480712,0.04327286178492991,0.0056327836629137835,0.003001243897164672,0.07565745820249654,0.023620070215506064,0.003385291908344857,0.028075131402374554,0.0034446571722448176,0.08806885348483195
2022-12-31,0.2558060947307221,0.028659180280959682,0.01999405817094026,0.00733597179948011,0.0508742489126933,0.02284248556556537,0.08849320027046934,0.1319136454987435,0.04638573764815982,0.002885668721402261,0.005083918454041236,0.0029554082897413725,0.017591554432737102,0.007433300989140691,0.024874349625554022,0.016660255731614775,0.016899436951867495,0.0033031331908799704,0.046124679454091946,0.004807669549874658,0.0026851294569368088,0.05964250610001633,0.019725086051355947,0.003137733296196732,0.0240534181932087,0.002990981428855231,0.08684114720475086
2023-03-31,0.2617820438204361,0.02989316158977191,0.019350542554978336,0.005155891680752493,0.048653889004804635,0.01660576121945147,0.08492329234855059,0.14144979274841085,0.04741650078378749,0.0032193771509224202,0.004553946120365452,0.002319141749713052,0.01851300550411821,0.00690783717008673,0.02688213861746577,0.013759476050470872,0.015247907628662186,0.004031490128445048,0.03949767298918246,0.0051229677236595645,0.002591812636422445,0.05862688545304319,0.02067494988398772,0.002353094580465134,0.025350324884046125,0.0036436943314743196,0.09147340164652568
2023-06-30,0.2721634846998683,0.03230963949035135,0.02137914016644394,0.004899469680533117,0.05245973514061719,0.0177403287694699,0.08153360210420646,0.12612057287171624,0.04757580922640701,0.003116388556766076,0.005238192313957398,0.002827519619273183,0.01731280761899742,0.006708554276773069,0.026030965505999804,0.014422389433561713,0.01448957149295594,0.004727140744986983,0.038821371624039105,0.006861095636039667,0.0023908172542530487,0.06357148523553038,0.022169021379425426,0.002453461617406924,0.027156435523912077,0.003524896242383549,0.08199610377412468
2023-09-30,0.2723345430602045,0.032176641206609874,0.021679628591885235,0.0040618447515844884,0.05348391286858977,0.017125481293322645,0.08041144857713024,0.12494337097910252,0.04564315442350643,0.002903797336413205,0.004956688181902795,0.002516350378830834,0.01972582584680137,0.006355968884754964,0.027021449385107733,0.01533782644652445,0.01531834383864533,0.00467769696977682,0.03474768722786589,0.008307883844990304,0.002709259715601804,0.0640256431526081,0.021288945113494728,0.002225247272765259,0.025896482754280446,0.003352598972178443,0.08677227892552165
2023-12-31,0.25362240505782496,0.02977621108520753,0.021400134618844737,0.0033038377936214433,0.054724885286390905,0.017757760256478183,0.08223823251784822,0.1398058203356202,0.05068514395819642,0.003005999619453991,0.004679080619045148,0.002328859799413884,0.022763727211654643,0.005979152432026098,0.03209561100423943,0.015439306890590835,0.01469276522888573,0.004440718758524225,0.033707689903025674,0.009148294300411731,0.0021921944785310483,0.061389707253778826,0.021066385066032464,0.0021971335080733737,0.02661626688785518,0.0032085201745181125,0.08173415595390739
2024-03-31,0.252088249436078,0.028313204360545782,0.019007846828505027,0.0028051080970539675,0.06267043408774994,0.014979171157000695,0.09073156473750645,0.14115217178263584,0.050822431669925915,0.0025989615866318146,0.00398446373679312,0.0020445595904006065,0.02133311399225235,0.005365060103607234,0.032046186103297104,0.01460227087732076,0.013827636185156443,0.003872536592996999,0.026206992162530595,0.008372926003927235,0.0020788069200297398,0.07721200148062451,0.01945040913144737,0.0021045154680646434,0.02891247892303757,0.002714767920863876,0.07070213106401622
2024-06-30,0.24234888684165326,0.02763181886315752,0.0203539155434502,0.0029470813243964587,0.05995209014121171,0.016476017368432263,0.08472187017715907,0.1254732067866775,0.054103242776377306,0.003013290292852201,0.004266629414490377,0.002207745977224221,0.03670635715537861,0.005562613964071274,0.032744330524616304,0.014745356237900862,0.014555448351455214,0.003740648439971882,0.02641806241812713,0.00858892374922162,0.0022760242622183197,0.0837196563077149,0.01926808520361277,0.002693266876779755,0.02721504701047458,0.0029651585805308537,0.07530522541084392
2024-09-30,0.23639440010981966,0.02890418620512231,0.018521064215410426,0.0023550196271519127,0.0626949268807382,0.01609934624846216,0.09122128915013653,0.13024744033570193,0.05287757075396595,0.002993444292911478,0.0038541875632941464,0.002243621262690554,0.03756738475274067,0.004983705650296205,0.03776047341220075,0.013716733332403596,0.015598805274953229,0.0034176692724433334,0.02222209109561142,0.01015435790174204,0.0020404322274011027,0.07837974395878282,0.02089145737773459,0.0024080914244092254,0.026433207643266548,0.0027047859417167358,0.07331456408889253
2024-12-31,0.24806448340128362,0.029703559295481463,0.018241785651216945,0.0023339865632145003,0.060579124755729206,0.01644281402262165,0.08831822316869577,0.1253777261706977,0.05352704363176515,0.002993329876901491,0.0037770459532749877,0.002157117842605795,0.03947818337276514,0.005125045495058507,0.035406089916763306,0.01258572961025063,0.014360566413287326,0.0032311274429896487,0.023627619426861802,0.010077137890982262,0.002038371936470649,0.07782322337046864,0.020585911405552916,0.002370085239775374,0.02651810506191374,0.0028732179416123336,0.07238334514175948
