,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2019-03-31,9.551476288280421,1.9647053014299964,12.10446570927763,0.11035704799171041,0.055688792132305244,8.833428968184014,7.4326293899436955,15.560394698815395,902.6430392334954,7217.727343165696,0.46192160498883666,6.153585466159458,6.600565715463175,6.592251880863056,-0.15421305738666288,3037.3901924434763,0.534887772939636,0.38531181179329566,0.24157155033999933,0.7773786611908458,0.25815672262895517,5.2133186533066525,3.403785134108318,2.4772412476344776,3051.2052050800016,0.08322468235442945,0.0794614404452243,6.692601413246784,2.6426619700664826,-0.5332900656176248,0.18629956713100562,1.1780833228531236,0.38531181179329566,0.8597187550966575,1.2164226933193822,-0.07392196661475037,0.050450410861558846
2019-06-30,114.90194411982523,1.601832298837132,4.999450254033275,0.09847891713630876,0.047334499497232695,14.413772768589093,5.782913657740702,11.064289179553105,826.1987253004334,7556.80802361502,0.4568873434092255,5.598587219914886,5.979557290108218,5.974096622308907,-0.2832366001185069,2529.225027192487,0.49027431287121037,0.3551834780545814,0.1969836515271654,0.8413971961073609,0.2745109932578041,4.987622230181229,0.23578351607274747,2.5135171678866364,3535.6594468274575,0.10060620988268214,0.10167829581514631,12.370224706825924,25.218775039298126,-0.6714787236194939,0.17117621522633997,1.181540780849243,0.3551834780545814,-3.049390668322473,1.2986622431535173,0.08195642888266617,0.04775032207955837
2019-09-30,372.52526702182615,1.5812597387996306,10.464066948898727,0.09309548360142675,0.043692855663903366,12.103699792575446,7.338433463324444,14.598159924302214,794.439287197451,8277.407049475149,0.49074352603960536,5.672486661671571,6.365282485983763,6.357929770457621,-0.06440511735425225,2323.0813625882306,0.540511846588148,0.40987851799373953,0.2510071919535185,0.7547112673214624,0.2705641212044584,6.000459170462287,0.19104881628456039,2.712171541963772,3410.937464801402,0.10044991405653578,0.10964584228952244,12.123593785425987,34.06085761922035,-0.7307246242153915,0.17775144557099443,1.1760546017898177,0.40987851799373953,-18.14884435283865,1.4057732572033639,0.017178420849136882,0.03312031505441935
2019-12-31,-18.66258876773792,1.3965035416255747,12.756374244738542,0.10311685006064962,0.04663264606644681,8.884015692985644,6.318559477425612,15.92988054616723,802.487763231825,8292.774578478111,0.46536478783120266,4.568651701666839,4.875581704179219,4.873918961711824,-0.015535059536344323,2647.5477889654253,0.4073002136473202,0.22885694565801887,0.09112403691955279,0.8975197139003048,0.3183982358731209,7.286666731778838,0.33855558657647566,2.884156722767947,2580.252397604762,0.17057387485377556,0.22237789086120532,5.153171296141899,1.7272280701420057,-0.6317367325697106,0.19059590022020625,1.6981655360970755,0.22885694565801887,-4.8391499145760095,1.5946915763592646,0.29599381227939286,0.02680715053901759
2020-03-31,-125.3939528637834,1.2494510781220636,21.126298168435593,0.0683107075598509,0.028871917114745474,1049.6399887435568,8.611643457838158,14.662351575413718,340.26668552021664,6192.234325023777,0.4727009453733097,6.004998834432533,6.830010226665821,6.819062939443781,-0.4920350965386287,1912.0762647156644,0.29204235709012016,0.18401093755060038,0.1549847479221546,0.8221244623868251,0.28724851843138693,11.023617356837388,0.5101785781293455,2.900310106913508,1843.9314510325448,0.12352648209121221,0.15725769685753416,-12.71392228145203,0.5136060532746151,-0.590326864034092,0.1765184439807115,0.6047247997117311,0.18401093755060038,1.2214336976734748,1.666301139968675,-0.26571906549246915,-0.21162873514897418
2020-06-30,-2.750112652333684,1.3181174073103905,14.13290419449443,0.0962980395157987,0.04384668568266545,887.9453635461576,10.460304061595124,15.482431435557345,535.320476799522,6437.590419823868,0.49138218848710985,5.259601353240998,5.577942913137862,5.565252992813914,-0.24991489898630947,2417.8973593848414,0.6081452587135732,0.5023799586175932,0.3666513512646706,0.7887901342840078,0.28482607127894005,7.952649897033616,0.15553028733422802,2.943058620264868,2257.177884390817,0.13961346501663155,0.12752753037075845,0.5906936294483952,0.5154653763857607,-0.5875427796523472,0.21288627895880285,1.2109864535109185,0.5023799586175932,0.8122577680028608,1.609537627072193,0.13442129544957016,0.02795399620690918
2020-09-30,8.522075661261827,1.5898227763587622,14.182875626603954,0.10794606236946838,0.04758947494434626,846.3094691163114,14.535859844169238,14.732663488193934,596.6463980999803,6322.713142758616,0.455272980894739,5.7167053850483995,7.099286495688369,7.083224085257716,0.16245239474210552,2598.151594203834,0.5740958056622164,0.4734300311093474,0.3313517083176481,0.8746519977635145,0.3001067555263858,4.6813346967708735,2.2235195797043863,3.2284010553940834,2256.0179563373194,0.139210460761176,0.07345828746215367,12.55144112975334,0.5282458192652146,-0.5866608821801322,0.205309181403881,0.7342074359421403,0.4734300311093474,0.7916397538715918,1.8268186627980199,0.28426164707038293,0.0335628205144551
2020-12-31,41.45194854777756,2.467329294225304,18.1765921499104,0.1457508338920932,0.060988646429153116,693.3433598130589,21.986789800532026,31.999747152490535,841.882411842368,6582.687017987457,0.40860048259365334,3.322206674971257,4.551583347040095,4.531687556688993,0.5198742534223346,3412.1597289456804,0.5945880280516403,0.4758614922553643,0.3711050106443623,1.2156924023015663,0.36304056155003916,5.522136081781555,1.5452537702134659,3.5937192688239517,2327.4246727605546,0.13053228013876902,0.09031291268287121,-4.385235917603298,0.844185685686954,-1.054884529014691,0.1924582552062528,0.7430819908837918,0.4758614922553643,1.5914267863365266,2.1169589606946,0.18323582691129459,0.0866369063810718
2021-03-31,455.1616380875218,3.4446070257994057,25.043568181825886,0.20120919343864815,0.0946553254609875,699.677437773939,25.407517453190046,36.53216020917638,1154.4033355893243,6724.730496211112,0.43106340310423064,4.198312466711883,5.142513498127061,5.127980953044309,0.5105812257867398,4566.6783841851775,0.5465715602170335,0.4709084124576413,0.33635068194356554,1.1117808934050977,0.3304678555317711,4.212458278375249,2.113908277872893,3.3856930521165203,3361.435503065724,0.13063091327636808,0.07603538797124627,19.675051782143367,0.6914448098533056,-0.5575079413115388,0.2544722719999603,0.7132841475408394,0.4709084124576413,0.8835753231783737,1.9289880053838981,0.5972475405386902,0.0581323810650414
2021-06-30,-21.136405257836472,4.375975376136325,-33.20368658825097,0.22542985842934637,0.09225323906432066,615.1348697604064,14.481675625330523,23.33940720440307,1394.0151203503037,7311.437459965157,0.3756389734534122,2.7188101285152264,3.927539951092724,3.913847274708228,0.12176944483126224,5051.747657055854,0.5694323183848323,0.4968534049797805,0.3826963186192137,1.3313217813493021,0.3784847984213865,3.69736471693252,2.0754394704910135,3.49832448222091,4155.796191070624,0.1628705392169216,0.05154192680612019,23.766641159326515,0.7203389423919917,-0.5541921391417745,0.26230621565284784,0.763251627489343,0.4968534049797805,0.875359487344761,2.2078317996759838,-0.024070373284085355,0.06744131785604214
