index,ticker,time,price_to_book,median_vol,raise_from_lowest_price,raise_from_highest_price
434,APS,2016-06-30,0.6,911016.0,x2,N
435,APS,2016-09-30,0.6,911016.0,x2,N
436,APS,2016-12-31,0.5,911016.0,x2,N
437,APS,2017-03-31,0.5,911016.0,x2,N
438,APS,2017-06-30,0.7,911016.0,x2,N
439,APS,2017-09-30,0.8,911016.0,x2,N
440,APS,2017-12-31,0.7,911016.0,x2,N
441,APS,2018-03-31,0.6,911016.0,x2,N
442,APS,2018-06-30,0.7,911016.0,x2,N
443,APS,2018-09-30,0.6,911016.0,x2,N
444,APS,2018-12-31,0.6,911016.0,x2,N
445,APS,2019-03-31,0.6,911016.0,x2,N
446,APS,2019-06-30,0.6,911016.0,x2,N
447,APS,2019-09-30,0.5,911016.0,x2,N
448,APS,2019-12-31,0.4,911016.0,x2,N
449,APS,2020-03-31,0.4,911016.0,x2,N
450,APS,2020-06-30,0.6,911016.0,x2,N
451,APS,2020-09-30,0.6,911016.0,x2,N
452,APS,2020-12-31,0.9,911016.0,x2,N
453,APS,2022-12-31,0.7,911016.0,x2,N
454,APS,2023-03-31,0.8,911016.0,x2,N
455,APS,2023-06-30,0.9,911016.0,x2,N
456,APS,2023-09-30,0.7,911016.0,x2,N
457,APS,2023-12-31,0.7,911016.0,x2,N
458,APS,2024-03-31,0.7,911016.0,x2,N
459,APS,2024-06-30,0.7,911016.0,x2,N
460,APS,2024-09-30,0.6,911016.0,x2,N
461,ASM,2015-09-30,0.8,2520350.0,x2,N
462,ASM,2017-09-30,0.8,2520350.0,x2,N
463,ASM,2017-12-31,0.8,2520350.0,x2,N
464,ASM,2018-03-31,0.8,2520350.0,x2,N
465,ASM,2018-06-30,0.7,2520350.0,x2,N
466,ASM,2018-09-30,0.7,2520350.0,x2,N
467,ASM,2018-12-31,0.4,2520350.0,x2,N
468,ASM,2019-03-31,0.4,2520350.0,x2,N
469,ASM,2019-06-30,0.4,2520350.0,x2,N
470,ASM,2019-09-30,0.4,2520350.0,x2,N
471,ASM,2019-12-31,0.4,2520350.0,x2,N
472,ASM,2020-03-31,0.2,2520350.0,x2,N
473,ASM,2020-06-30,0.3,2520350.0,x2,N
474,ASM,2020-09-30,0.5,2520350.0,x2,N
475,ASM,2021-03-31,0.9,2520350.0,x2,N
476,ASM,2021-06-30,0.8,2520350.0,x2,N
477,ASM,2021-09-30,0.8,2520350.0,x2,N
478,ASM,2022-06-30,0.8,2520350.0,x2,N
479,ASM,2022-09-30,0.8,2520350.0,x2,N
480,ASM,2022-12-31,0.5,2520350.0,x2,N
481,ASM,2023-03-31,0.5,2520350.0,x2,N
482,ASM,2023-06-30,0.7,2520350.0,x2,N
483,ASM,2023-09-30,0.6,2520350.0,x2,N
484,ASM,2023-12-31,0.7,2520350.0,x2,N
485,ASM,2024-03-31,0.8,2520350.0,x2,N
486,ASM,2024-06-30,0.7,2520350.0,x2,N
487,ASM,2024-09-30,0.6,2520350.0,x2,N
488,ASP,2015-03-31,0.4,38791.5,x2,x2
489,ASP,2015-06-30,0.4,38791.5,x2,x2
490,ASP,2015-09-30,0.4,38791.5,x2,x2
491,ASP,2015-12-31,0.3,38791.5,x2,x2
492,ASP,2016-03-31,0.3,38791.5,x2,x2
493,ASP,2016-06-30,0.3,38791.5,x2,x2
494,ASP,2016-09-30,0.3,38791.5,x2,x2
495,ASP,2016-12-31,0.3,38791.5,x2,x2
496,ASP,2017-03-31,0.3,38791.5,x2,x2
497,ASP,2017-06-30,0.3,38791.5,x2,x2
498,ASP,2017-09-30,0.5,38791.5,x2,x2
499,ASP,2017-12-31,0.5,38791.5,x2,x2
500,ASP,2018-03-31,0.5,38791.5,x2,x2
501,ASP,2018-06-30,0.5,38791.5,x2,x2
502,ASP,2018-09-30,0.5,38791.5,x2,x2
503,ASP,2018-12-31,0.4,38791.5,x2,x2
504,ASP,2019-03-31,0.4,38791.5,x2,x2
505,ASP,2019-06-30,0.4,38791.5,x2,x2
506,ASP,2019-09-30,0.5,38791.5,x2,x2
507,ASP,2019-12-31,0.6,38791.5,x2,x2
508,ASP,2020-03-31,0.3,38791.5,x2,x2
509,ASP,2020-06-30,0.4,38791.5,x2,x2
510,ASP,2020-09-30,0.4,38791.5,x2,x2
511,ASP,2020-12-31,0.5,38791.5,x2,x2
512,ASP,2021-03-31,0.5,38791.5,x2,x2
513,ASP,2021-06-30,0.6,38791.5,x2,x2
514,ASP,2022-06-30,0.5,38791.5,x2,x2
515,ASP,2022-09-30,0.5,38791.5,x2,x2
