,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2020-03-31,10.519343761182094,1.59689714098642,0.17988976613925553,0.014286656907600948,2354.930737220176,14401.151150674103,0.0368875388211434,0.2262639129111505,0.01452144808294696,1.3311736341499387,0.04667989039859811,0.08071898003694127,0.12164328003217831,0.39840557839488216,0.10739288582848523,-0.06682949953271453,13.556942434039918,0.4815436189819447,0.2828150241351962,0.7205375154022748,0.6843558922923846,0.9464878312181081,0.772963819013533,0.009937409880206938,0.3113665350447575,12.55694243403992,0.013090902265014824,-0.0379431107951017,0.1420681270354201
2020-06-30,12.604275560103178,1.9977941027993862,0.18038717631277,0.01448123619940036,2470.504512767296,15070.068867157195,0.03540588461409889,0.26327291987648355,0.014855736093606273,1.4175850428710286,0.045757036471611105,0.08294222432157519,0.12497964245225208,0.3534455751933074,0.10767302378777299,0.03349064091027159,13.299086791535196,0.5190643557237655,0.340949944949484,0.719483067685677,0.6835305625788527,0.919833728229825,0.7918616712228749,0.010280000043703637,0.3143071550693488,12.299086791535197,0.011500567181247506,0.04158562990733747,0.11080092460611027
2020-09-30,10.425283551926626,2.030790384764944,0.1722206434401518,0.014376508180418936,2392.1142287076664,15418.29506455374,0.03551904333693201,0.2372717181551551,0.016143086026263742,1.2773276770103292,0.04472163893293366,0.08485911280679803,0.12840583278445492,0.3807937793482926,0.1078359099493102,0.004599363007212377,13.01573751906309,0.4958491126252023,0.29806723625846937,0.7200847066886946,0.6834355285299499,0.9217240534338558,0.7896689315827728,0.011197660171869392,0.31398442623198186,12.015737519063086,0.012827577353986017,0.0413142400909323,0.10572321244549984
2020-12-31,15.977953761441944,2.294277079523801,0.16986261765704436,0.014184106730569681,2467.019087536415,15643.511250051335,0.03549796119490624,0.2696356667593267,0.01267754222300976,1.7924575890789094,0.04084812544823711,0.08323127560501335,0.12725704728680698,0.36585508394870214,0.10841373719498551,-0.08541931187859386,13.399308680200333,0.5052080895162361,0.31676873835277747,0.7116957234129876,0.6756583437312454,0.9443157689656902,0.7616007394782539,0.008767291612994612,0.3210126865575308,12.399308680200335,0.011235191930918185,0.03835424250387745,0.1452521352534065
2021-03-31,15.75003534650954,2.6256071423652902,0.18872223398815707,0.01674996871933507,2402.2404845040014,13571.000646375089,0.037633427152744515,0.25343912726479595,0.013470094116743464,1.5047481045232982,0.03917763774637717,0.0867942425615736,0.12926493705106312,0.3183887901264495,0.10692396888774591,0.064188792094889,12.22315697107461,0.525395111655103,0.3796792808008786,0.7099815015590645,0.6716442837867189,0.9530888426829252,0.7360579255190198,0.00927417651962157,0.29481637092947405,11.249689973012114,0.011921108133256735,-0.08233658043020858,0.1692991361059834
2021-06-30,18.609737786574367,3.232944629339134,0.1927378877408944,0.017543949780187133,2480.2755117214083,13845.539160490081,0.04078465364876632,0.21627619705881732,0.013129919311317037,1.7501688511485547,0.036521689819761706,0.08776212580204311,0.13210420926348018,0.32217400843032895,0.11579431061649295,0.11531311030498183,12.062242407262763,0.5193397872266993,0.31079910889050605,0.7055848186846979,0.665307867776538,0.9713436587322524,0.7168712969051579,0.00906053525630795,0.29660762269218166,11.09171559206846,0.012477472058323991,0.045669179749650034,0.19655174832770494
2021-09-30,15.65562926974843,2.6878470572876427,0.18875758396592843,0.017748498605569492,2531.089982059967,14302.654552023581,0.04132277386966865,0.20622882255667518,0.015939250362772585,1.4064357812651225,0.03478538012243695,0.08960092898554439,0.1391890510701741,0.3444711792704535,0.1070221426486889,0.03533118864258299,11.710451296668626,0.498209969364799,0.29712341851276214,0.685862292770536,0.6455557715537501,0.95833583573869,0.7059953894722202,0.01061427935280761,0.3151492119273499,10.742473357191244,0.01275616834176708,0.04583817073028798,0.18801249816479795
2021-12-31,13.948596151754565,2.208092944394672,0.17995136115971458,0.016362233069112934,2515.9315613087297,14766.694481606304,0.03839895076286762,0.26190571375648136,0.013861469196537551,1.9190233689844813,0.03215856908268236,0.08884657008643329,0.13892813882461053,0.330186427112515,0.1144291737914487,0.012497505117646149,11.93627013056571,0.5021233694959498,0.2943233465528149,0.6749963783687896,0.635411877283492,0.9767316930384116,0.6829019180035162,0.008947208670716165,0.31998001224579714,10.975091327448256,0.010754034126317178,0.06699581644597821,0.15939441491729053
2022-03-31,13.813989771225486,2.232671635790295,0.1908423607211567,0.018181966267137785,2427.896065035148,14375.400266392344,0.03984619506941931,0.2613040281229267,0.015570678964376247,1.9064661127108258,0.03295749516453716,0.09379486187513383,0.14358854649867317,0.3077380220279766,0.1181791708970505,0.009567265115969906,12.289833679974192,0.5567690650553462,0.41174101383676837,0.7137704846026456,0.6745006423033805,1.0409602074824087,0.702577111757374,0.010312014136937428,0.32317359647728794,11.289833679974198,0.0089229721362993,-0.019087620568653423,0.19523291237690515
2022-06-30,7.807443002235742,1.8105764929482773,0.19702118089408874,0.01832595015697776,2709.594350840759,15342.692048681953,0.0395059089343667,0.23004272565865386,0.016161167423904013,2.289746898740884,0.032465504020026785,0.09372274361863948,0.14267977482395044,0.3365885117254856,0.1061977105026194,-6.128494444342647,12.307042587262176,0.5277326026710252,0.3707566701741479,0.7149039919744348,0.6741429598875284,1.055506722017196,0.6900477423941954,0.01073181493739059,0.3217850313548938,11.307042587262178,0.007927172555220881,0.04927020322239602,0.19483819653503687
