,VHG_capital,VBC_capital,TTP_capital,TPP_capital,SVI_capital,STP_capital,QHD_capital,SDG_capital,MCP_capital,INN_capital,HPB_capital,HBD_capital,DPC_capital,BTG_capital,BPC_capital,BXH_capital,BBS_capital,APH_capital,HDO_capital,SBG_capital,BAL_capital,BBH_capital,ILS_capital,NHP_capital,PBP_capital,PMP_capital,PBT_capital,TKA_capital,SVG_capital,TB8_capital,TDP_capital
2019-06-30,0.032083402847372836,0.018579206921614994,0.04047758770144001,0.09966271593588454,0.11209979843845218,0.006222235703732913,0.013603362807286083,0.026335807060915296,0.06289163626521191,0.0917351987595973,0.006561347549586357,0.005785512535277159,0.019006207846783668,0.0014000030333399054,0.009982410517445008,0.008557518541290172,0.007408349384756999,1.9444486574165354e-19,0.0019600042466758677,1.9444486574165354e-19,0.00266000576334582,1.9444486574165354e-19,0.10920023660051263,0.0032200069766817824,0.006869348216921136,0.006582347595086456,0.061045965599592134,1.9444486574165354e-19,0.09832687970823935,0.0012815861101032385,0.1464613173328542
2019-09-30,0.022678636378951813,0.02031357858514684,0.041550501651436714,0.0851420805769791,0.1108894604385228,0.006393215588733083,0.01288902500870428,0.03848111020780543,0.05971630537799025,0.09404506525831619,0.00863883256427558,0.0034389452231016267,0.006110704575555283,0.0014255142866769711,0.00978334774686668,0.008183747927604611,0.009849007798859073,2.1598701313287444e-19,0.0021771490923793743,2.1598701313287444e-19,0.003149090651477309,2.1598701313287444e-19,0.11818809358630887,0.0035767449374804,0.00638630400431283,0.008245952187386881,0.0332242022951644,2.1598701313287444e-19,0.10922031280103192,0.0014235704035587752,0.17487950084537324
2019-12-31,0.01817446027911124,0.016250996566238636,0.05253327743677104,0.08278466657135171,0.14495626417103055,0.005218089484580383,0.015993525045617893,0.042076500745960616,0.03796341844635019,0.07974953170474013,0.011102979722956603,0.005386910026728572,0.005206780931517826,0.001332793753801491,0.00622333907646278,0.004767766746553516,0.009281091049199474,2.019384475456805e-19,0.0013570263675069729,2.019384475456805e-19,0.004325521546428476,2.019384475456805e-19,0.11631654578631195,0.0027867505761303905,0.0040419999660743396,0.007183758332990038,0.057143532194238934,2.019384475456805e-19,0.10211623415489969,0.00133097630777358,0.16439526300867283
2020-03-31,0.017963863891396068,0.019281213910098446,0.04804435397753878,0.08658582395652904,0.13699162764183567,0.005157624921707493,0.016873058156212963,0.04158893968892176,0.04195400532289247,0.06186754724196805,0.009807471290751525,0.005624086587420744,0.0035700185506834458,0.0013173500187023783,0.007835039035476235,0.007119678055623309,0.008694510123435696,1.9959848768217854e-19,0.0010059763779181798,1.9959848768217854e-19,0.004419110517283433,1.9959848768217854e-19,0.08694510123435696,0.001652675478008438,0.0037364836894103817,0.004183185104843098,0.07219976295683603,1.9959848768217854e-19,0.10093296325112402,0.0013155536323132388,0.20333297538671213
2020-06-30,0.027662857388749205,0.023682479575590294,0.06379054913845567,0.10742409619297608,0.16025605560439243,0.006753835403949436,0.02006069435821146,0.026697731030963952,0.03434497427354262,0.06904649204231801,0.011592376526323769,0.004399418875084781,0.004417860780010614,0.001352406361227739,0.007366106647487085,0.008766052141412526,0.00949143373516195,2.049100547314756e-19,0.001032746675846637,2.049100547314756e-19,0.002618750499468258,0.008966863995049371,0.0848327626588309,0.003958862257412109,0.005183404744487406,0.005000215155557468,0.027719207653800364,0.005022345441468466,0.06229183699814965,0.0014997366905796698,0.20476784715349197
2020-09-30,0.006553841965148914,0.006389995916020192,0.026382958962275896,0.02657114785298946,0.050349485183230125,0.0022270579173001262,0.006807569275513965,0.00897083646435331,0.030480608211514576,0.02908782316760664,0.0024849672030143673,0.0011562849752798441,0.0018798915457748097,0.00041195578066650316,0.0019235838255424688,0.002763848783017085,0.0023743633176596638,0.6861293926891705,0.0003145844143271479,6.241754252522776e-20,0.0008426368240905748,0.001664051683722572,0.02404323738071773,0.0010336345042177716,0.0016657993749132783,0.0019451802952561979,0.006247996006775298,0.001529853967293332,0.011927992376571024,0.00045683399374214193,0.05538258614229439
2020-12-31,0.01275844136756202,0.007021395565948298,0.021824589803351592,0.02615480480350214,0.05717959173327848,0.0023316760401517786,0.007572276712107699,0.017530722185052628,0.019933108342472628,0.028997385540194955,0.0024295474614869435,0.0011032366010990517,0.002164398697777077,0.0003946611196365851,0.0019780687496268154,0.001779377289395983,0.0027320075781739465,0.6266441165468308,0.0003810521155111857,5.67041838558312e-20,0.0007144727165834731,0.0015502923866184248,0.030620259282148846,0.0007825177372104706,0.0016820729098993765,0.0016790108839711616,0.0056760888039687025,0.0013898195463064224,0.00900235622895176,0.0004150179216408285,0.10557763332953982
2021-03-31,0.02227611116026981,0.007833765758028216,0.029187274647743514,0.0304904271506193,0.060107878256102254,0.0027770885246469696,0.01026093370319928,0.02193015077833351,0.02477920351764546,0.027121165337628494,0.0033151803653405985,0.0012956033763159146,0.002013389180369053,0.00043067148243188295,0.0025700444470295727,0.0019417343561368519,0.0031409316735980432,0.5879868645197858,0.0006237311124875546,6.187808655630503e-20,0.0010024250022121414,0.0016917468864493794,0.03697834452604788,0.0010247011133724111,0.002387999116380923,0.002120685782457686,0.007027803680632343,0.001516631901495036,0.011461059191958816,0.0004528857155055965,0.0942535677357756
2021-06-30,0.024741394695510954,0.007381182750827435,0.02818292269765653,0.024939325853075043,0.04700381160428592,0.0023795723609371425,0.009144419479460849,0.014032604319891498,0.017832937525999085,0.0259784644302865,0.00278087778289833,0.0012974387378325944,0.001958308880588243,0.00038266690462390274,0.0018260248902829104,0.0017252999234336308,0.0025566107852027986,0.6286531081624501,0.0007389429882392606,5.498087710113545e-20,0.0009203798826730074,0.0015031771799450433,0.04572209739730425,0.001062230545593937,0.00204001046396053,0.0021590990437615897,0.007860890903534841,0.00134758129774883,0.012284927179477705,0.0004831719479647784,0.08108051938455285
2021-09-30,0.03386022422046992,0.009393793633736085,0.031379720937576065,0.03305725318895593,0.05853110606583022,0.0031577077673032522,0.011031983529355012,0.019946058405468512,0.023090802544070213,0.036325248543720136,0.0035699640591456217,0.0014276115488001937,0.002657608379483207,0.00048758722877476686,0.0027865997098469016,0.002023873973406374,0.003053224789708659,0.5109264041254523,0.0017336434800880602,6.449566518184747e-20,0.0011377035338077895,0.0009287375786186037,0.039006978301981354,0.00373816875393988,0.002863607534074028,0.0029173969188356886,0.008860092004356297,0.0015807887536070813,0.04361196879596525,0.0004250909292135567,0.1064890507644091
