,THS_capital,PSD_capital,PET_capital,COM_capital,PIT_capital,CMV_capital,BTT_capital,CEN_capital,HTM_capital,CPH_capital,HTT_capital,BSC_capital,KGM_capital,DKC_capital,DGW_capital,MWG_capital,FRT_capital,TOP_capital,PNG_capital,TV6_capital,SAS_capital,SBV_capital,AST_capital
2021-09-30,0.0004981027196024357,0.0069429712612799855,0.019842600167087717,0.004487598362530792,0.0007327532345496924,0.0016262815566962126,0.004691691389284784,0.002352234163309719,0.03590731550306508,9.430204071512042e-06,0.0002967546735790502,0.00038934213173571385,0.0016645464232171558,1.668420720344438e-05,0.0878379985242555,0.7517234584083117,0.030594170368193493,0.0003350030537292389,0.0008902640207371506,0.00027449807306062144,0.02540974257298683,0.002930007269582752,0.02054655171192949
2021-12-31,0.0003116049744722891,0.006881380304892971,0.024781354949578914,0.0039271601426298305,0.0010075099191570657,0.0015701847351106365,0.0038925147236237557,0.0024781739898678983,0.03105256073877861,8.634936676024e-06,0.0005434575530364755,0.0005098839530933332,0.00196896181069429,9.548247285988074e-06,0.08393883059166042,0.7320255943146128,0.05904036808742371,0.00046012739490421584,0.0007948066713158453,0.0002898440282861203,0.023871486237450733,0.0030517632450116185,0.01758424845043646
2022-03-31,0.0004802157166937012,0.008167430200321077,0.03776227189202039,0.0062718390306918574,0.001100966398788905,0.0017322441697506248,0.003782533416723028,0.0023119358633334423,0.0319087760309509,7.646342643361507e-06,0.00036092876113769345,0.000487440975782402,0.0015924444296032917,5.38051208733043e-06,0.08518784991876295,0.695412291998426,0.07831676888659334,0.00042442548763413953,0.0009384147789580031,0.00022056757625081268,0.0231283150137034,0.002647633030521232,0.017751679568622225
2022-06-30,0.0003077861293099125,0.0044793509719914535,0.024015403685605376,0.004576321274416767,0.0007250443058136695,0.0013317984964511395,0.003860287042904423,0.001666614848665028,0.032854414579418116,9.386975594119462e-06,0.00021334035441180593,0.0003144921277835902,0.0018749203707127153,5.888193781765844e-06,0.07404736491523431,0.730428262556438,0.07622608195062944,0.00027094225010299353,0.0008192269609413348,0.00018560610833827116,0.02127526017354014,0.0023452078479781003,0.018166997879937336
2022-09-30,0.0003171718389860705,0.005131779596641054,0.023079444680629207,0.0040843756569078765,0.000540636520501427,0.0013006845349892166,0.004057272444018302,0.001136002970455023,0.02914170446482164,1.0470073460414961e-05,0.00025381996267672633,0.0003167673134205545,0.0014949043976799142,6.567591534260293e-06,0.08324584079901128,0.7292476838174878,0.06833031692103313,0.00038279223121183783,0.0014277372900565854,0.00010708029675424391,0.024005379904473906,0.002436076751159049,0.0199454899420905
2022-12-31,0.000535090712201299,0.007165166841118165,0.018574505608846045,0.0041125178203837145,0.0007337880886987062,0.0018993388733201883,0.00520866015666536,0.000827027667718532,0.04389591145006467,1.4796374646089214e-05,0.0002690249935652584,0.0004476575892925901,0.0021894823288803197,9.281362278001416e-06,0.06895002975080147,0.6908752842501268,0.09090072056326838,0.00039860536546585784,0.0027238780598482417,8.7433122908709e-05,0.028836620919639074,0.0031580843994625687,0.028187093700799953
2023-03-31,0.0003808389132140338,0.006609381835294672,0.02499501460380916,0.004915842375453938,0.0007360592946400798,0.0018777287287561188,0.0040960368978629515,0.0009463655103587837,0.03673318662985772,1.6447695505906445e-05,0.00027412825843177403,0.0004976175513059695,0.0023483820277327085,1.0317190817341315e-05,0.05826865277075636,0.6900153666333377,0.08933550861582625,0.00037979224168183963,0.003027871218132777,9.719092798944718e-05,0.04070486898139571,0.0032247949906898574,0.03050860610714896
2023-06-30,0.00042753002639160767,0.007311425383031341,0.02938221954449925,0.00500517734449082,0.0007848217409185345,0.00168502726855903,0.0038912825148006633,0.0013612864076514807,0.029981613872635506,1.427695898696929e-05,0.0002595810724903507,0.0004153297159845612,0.0019587771412561453,8.955547000917099e-06,0.0733188037154358,0.6727891999218142,0.10547557718500418,0.00041208495257843167,0.0017424379490914791,8.11190851532346e-05,0.03258926798397139,0.002855294454491674,0.02824891021376242
2023-09-30,0.0002725234389977587,0.005664113698181812,0.02644692510728217,0.00386327208431082,0.0009796562630796106,0.001472213566174916,0.0035104304686502073,0.0015339733762603682,0.023622993136133537,1.1811496568066769e-05,0.00019685827613444612,0.0003436071728892151,0.002613741020857805,7.4090296654236995e-06,0.0844268594326768,0.6825787091958093,0.10846712052938769,0.00025001001069074663,0.001441539467511785,0.00011543053464247067,0.026949540078667247,0.002371990109661245,0.02285927250576649
2023-12-31,0.0002537653815009152,0.00663938739237838,0.029697931461201522,0.005245422405910012,0.0008305562239872585,0.0014958281289950226,0.0038881648581899878,0.0012692302859523598,0.02884155901655609,1.3311488776872041e-05,0.00022185814628120068,0.0003872433098726412,0.001777648481539315,1.1597130373790034e-05,0.08739476436153834,0.6259654384135804,0.1469648867733841,0.0003073743772114089,0.001624606698450065,0.00010588684254330033,0.03193365650804435,0.0026622069952236564,0.022467675318509135
2024-03-31,0.0002091992954330008,0.005985839957783708,0.02572426402234678,0.0039209903709464975,0.0007909402705251826,0.001342071175446314,0.00330858113163351,0.0009200479266241533,0.019386932004043785,1.0973735096628558e-05,0.0002660299417364499,0.0003192359300837399,0.0014654591877979514,9.560451031153667e-06,0.09106035311550822,0.6161779691094678,0.1766372305644593,0.0002745096461292992,0.0013617407642634528,0.0001795702106721037,0.02727995724100746,0.002426168128329385,0.02094237581963409
2024-06-30,0.00027604768919790683,0.00474435665832884,0.020454366970428232,0.003258576831168346,0.00059483733027265,0.0012586013829407033,0.003134291471101234,0.0003697675836786776,0.01765058012721184,9.371989448077083e-06,0.00021299976018357008,0.00030217565978042475,0.001370582456861212,8.164990807036853e-06,0.07200150173350921,0.647679446777711,0.17116234728831323,0.0002524757157375917,0.00112463873376925,0.00014057984172115623,0.032056250907867116,0.001969310582753215,0.019968727517209694
2024-09-30,0.0002607578342601054,0.004547897580698134,0.019420515453876196,0.0027806064626151408,0.0005456801733371664,0.0011799950479649214,0.0032731490384397843,0.0003370739059290821,0.01470941629159569,8.914797752482235e-06,0.00017559450118525617,0.00031552981136058337,0.0013723385631093865,1.0873351804163938e-05,0.0687237706558059,0.6723607325905245,0.163732417266726,0.0002230050165052753,0.0010697757302978684,0.00016816550305818765,0.025515569430882963,0.0019451480868796754,0.017323072905391618
2024-12-31,0.0001793497902754458,0.005081268433703909,0.02002669809319891,0.0032563341120682683,0.0005867874059959352,0.0012792382543246913,0.00364955968583756,0.00033521881558804255,0.0169926588546934,7.723935843042456e-21,0.00021627020360518874,7.723935843042456e-21,0.0013536969958516207,7.723935843042456e-21,0.0680282559801627,0.6492682540142665,0.17147601007704832,0.000235425564495934,0.001223471437537925,0.00016451983345680427,0.035677632052597406,0.0020263977402297175,0.018942952655061622
