,VTB_capital,VBH_capital,TYA_capital,TIE_capital,TSB_capital,TGP_capital,DHP_capital,PAC_capital,NAG_capital,AME_capital,BTH_capital,HLO_capital,EME_capital,HLS_capital,GEX_capital,PHN_capital,EMG_capital,CJC_capital,NEM_capital,GEE_capital,TBD_capital,KIP_capital,VTH_capital
2019-12-31,0.007228360412797813,0.004208896110377128,0.01667431785181515,0.003751164703147785,0.0021355402983381667,0.0030238741537830156,0.0027681585956711107,0.052380661048999806,0.005039957719014989,0.023292946537641485,0.012587613698806928,5.582090332065156e-20,0.013234131401066714,0.0038699515854141316,0.6634594580594109,0.006226486839998758,0.0029289227972345874,0.009377911757869463,5.582090332065156e-20,5.582090332065156e-20,0.1608747269520514,0.004004368320610261,0.00293255115595043
2020-03-31,0.005472559881148969,0.006206266188758859,0.016785499290317956,0.005301904819762852,0.002641080373563378,0.0052905140086266424,0.004328508231759515,0.04407519039913404,0.00552475050671851,0.030157345071161516,0.006161393296404096,6.903521900732881e-20,0.016367007792695527,0.010932969563752648,0.5849826307388979,0.008264896419557403,0.003622277941314542,0.009444017960202581,6.903521900732881e-20,6.903521900732881e-20,0.221146592145449,0.00966783014022434,0.003626765230550019
2020-06-30,0.004773850293871636,0.006623290656605219,0.01971506762697966,0.00443434570112895,0.002643478220703391,0.004916465318374089,0.003985907095068601,0.052235399089188485,0.006713876538115552,0.03262631437740363,0.004971958793945221,6.415430701864802e-20,0.01731614562463136,0.004663248268571486,0.6522377214751026,0.00804116499602436,0.0025693799960968522,0.008109104407157109,6.415430701864802e-20,6.415430701864802e-20,0.14855750965297781,0.011819789525115709,0.0030459823429383887
2020-09-30,0.003591773055079533,0.00629479549061816,0.015691699311783786,0.002495008779215884,0.0022637006736427445,0.0022468073850334704,0.0030862738805404813,0.046125175322014475,0.004921578081501888,0.020397081802308866,0.0028275803583899146,4.8129027376849614e-20,0.00904026772830317,0.006317608649594787,0.699019255557531,0.006661442421175002,0.0020835055951438195,0.007315612161281141,4.8129027376849614e-20,4.8129027376849614e-20,0.1520240036785978,0.005334525136395258,0.002262304931848816
2020-12-31,0.0045984483658229915,0.0062151854101147996,0.01835264084791495,0.0020984982621811265,0.00246112598497787,0.0016401645724452353,0.00317364597916138,0.05214882230338697,0.005395649607814625,0.022307948917534154,0.004015468821429013,4.752034108200016e-20,0.010919509095868486,0.005024230621917712,0.6566908165040045,0.006584133338275449,0.0020571555654397868,0.006918961661539222,4.752034108200016e-20,4.752034108200016e-20,0.1786928294656528,0.008471071041959512,0.0022336936325594173
2021-03-31,0.004748516023637371,0.0015104416440219778,0.01762880714303479,0.002083367784857901,0.0024514728303449813,0.0016199486632135715,0.003207952353725988,0.0545536364989369,0.007600125679161623,0.022356272471345993,0.0036675953712602626,4.340349551787294e-20,0.0077584616308108215,0.003130607324713139,0.6344893984575006,0.008073223780306437,0.0018789373209687193,0.007430678432659846,4.340349551787294e-20,4.340349551787294e-20,0.20631434920863928,0.007737193918007066,0.0017590134628528364
2021-06-30,0.00433968488303294,0.0012880113670145654,0.01763565778602243,0.002131880883334453,0.002341297955954453,0.0020344629774037806,0.003367517032106722,0.06437375223898821,0.00694998195987983,0.02458702245166386,0.011910124628298316,4.1900174593837524e-20,0.007793851476199717,0.0037730269218258805,0.710097678106015,0.00792512472320221,0.0014065888611151257,0.007374430728515404,4.1900174593837524e-20,4.1900174593837524e-20,0.11470072234643995,0.0035395591489890185,0.002429623523998263
2021-09-30,0.004581255019082955,0.0014217229545563416,0.02110917905802919,0.002393081302818389,0.003095384190714952,0.001783967327460396,0.0034338223902420115,0.06804203198029099,0.00892320190788407,0.026817467349708576,0.011425301358941964,4.15465503961526e-20,0.00454685447535494,0.005904928114704375,0.7390956819963882,0.009068365554968226,0.0013947176967988425,0.005351195691024454,4.15465503961526e-20,4.15465503961526e-20,0.07515322263919724,0.004381000646173499,0.002077618345660403
2021-12-31,0.002800060027544469,0.0009749034317157056,0.012354935953488086,0.0022056857596743328,0.001351417860516254,0.0015817814225875038,0.002430849514307754,0.03617868811760562,0.00825477895558119,0.02302232881961832,0.009093616728481897,2.418515087362207e-20,0.0024087926567110105,0.003150261012194516,0.8255690252066107,0.0056708374362434075,0.0008118955148274928,0.0028054775013401597,2.418515087362207e-20,2.418515087362207e-20,0.055612013103031044,0.0022113450849787606,0.0015113058929417695
2022-03-31,0.0021550311683912896,0.0006492903399954072,0.01078660581982146,0.0014706249443090164,0.0015737729438751351,0.0012844989747949065,0.0019422736894690194,0.031004792120152735,0.0070324860618123245,0.015750298882719803,0.007939371444136218,1.963975620070802e-20,0.003044947801357771,0.004962416478745296,0.6390164692907175,0.005027993624699461,0.0006593066156577683,0.0021839408895187318,1.963975620070802e-20,0.21275747892226998,0.04799186537009972,0.001705280751395076,0.0010612538660614585
2022-06-30,0.003178281115759357,0.0007522339588424267,0.013670339087676078,0.0011264981452615652,0.0020999864684351083,0.0017306013035881002,0.0026284956722769856,0.047471335902663156,0.012430202971620584,0.02154304183279272,0.006021577256743564,3.087988336791572e-20,0.004787617117361652,0.007491212665989408,0.5068790807379873,0.007055744550735062,0.0010366376846609306,0.005434859472753166,3.087988336791572e-20,0.26041005644163323,0.08994568907873018,0.0026086090273880476,0.0016978995071014777
2022-09-30,0.0037039719389268893,0.0008220457788229605,0.013024830984553232,0.0011064443373926323,0.0023416623485122113,0.0013411899603259338,0.0028763814784582113,0.045959959611043696,0.01058934514662023,0.021528316735889525,0.015956534679881076,3.114989688605384e-20,0.0033865544896580003,0.0053378463303941845,0.5086342062936187,0.005743978685994555,0.0013793174341144637,0.0074759752526529204,3.114989688605384e-20,0.256332501475337,0.08795671784127476,0.0025581541318702855,0.0019440650646586199
2022-12-31,0.005419989726519101,0.00111144788793626,0.012864918911849854,0.0008330435698780557,0.004018892878587479,0.0017005803500713744,0.0036615591285395267,0.050757626732628486,0.0173364176675091,0.02569563386462399,0.014950673443775002,3.615640494262395e-20,0.0025088206261587903,0.00521577835140316,0.3853028986553686,0.008155800262907683,0.0026401406889104005,0.008677537186229748,3.615640494262395e-20,0.3007851327176886,0.14331733641405187,0.002703559023179763,0.002342211912183179
2023-03-31,0.004582239555595497,0.0020168909860514366,0.013037368277028427,0.001007085616614395,0.009397523074480081,0.002100193129647936,0.0035766692298394333,0.05311677262629395,0.019812311411853606,0.02735915925135773,0.007761008947481689,3.8853611752098573e-20,0.0017451488254572592,0.008241938953749165,0.4140458448529435,0.00973706478758167,0.0032543785203557763,0.009324866820503656,3.8853611752098573e-20,0.27228611115870677,0.13306118709517692,0.0023569377961058036,0.0021792990831752085
2023-06-30,0.003595334477235345,0.0015752879293129977,0.010369133266324168,0.0016896943152407576,0.006943435844085157,0.0018498329090181546,0.0032548161598625618,0.040569505885191946,0.015100732546820286,0.018796635396194777,0.007912855472324488,3.034652146624924e-20,0.0028160358059820647,0.0054924776132193815,0.5046441406056303,0.008358312060927561,0.0025418246380130363,0.005316710560886866,3.034652146624924e-20,0.2242304471141156,0.12990399028231553,0.002569500665590256,0.0024692964517087006
2023-09-30,0.003277243251047263,0.001698091422094841,0.009503121005421389,0.0013467621623510805,0.009521876864340001,0.0018911395309644588,0.002659672286653934,0.038133405941380344,0.010336216612055096,0.016503935955115737,0.014836951811227373,3.0497331574979187e-20,0.005206931409122495,0.006862143583022916,0.545155660515172,0.007048482278946039,0.0025544564927202566,0.006294649237075704,3.0497331574979187e-20,0.221227643244899,0.0918747972308667,0.0022116664858174906,0.0018551526797059839
2023-12-31,0.0042532289454426725,0.0011181112094339062,0.00850541138285681,0.0012425905854595528,0.008031976658684931,0.0015144072760288302,0.0026895256333328886,0.029773841903921967,0.007591369238987073,0.015262493405622435,0.009576925445335982,2.7539684961426266e-20,0.0030662685236052,0.0061966494338006,0.5585554840380537,0.008142107858845674,0.0013904786937024118,0.005684190976038381,2.7539684961426266e-20,0.2476919265430678,0.0753981494873928,0.00226976575515083,0.0020450970052355143
2024-03-31,0.002917684051281895,0.001403530479645082,0.007625567260235522,0.0014749745598897413,0.009336742607285387,0.0014680606166402584,0.0026054042811802388,0.03605544583013809,0.01037782881747423,0.013857590847741887,0.01877647736179085,2.5607197220308015e-20,0.0029192204831151136,0.0035075714464489105,0.5479699497492043,0.009813958334683046,0.0012929073876533515,0.005285325506271574,0.006309613395083895,0.24567545013163508,0.06720352838497635,0.0024643342316935622,0.001658834235931553
2024-06-30,0.003136808655494515,0.0009317380675325808,0.00808812900416041,0.0012090747226684855,0.008421112912157226,0.0014134145195480446,0.002685975946404267,0.059532664860319995,0.009687094340522735,0.011563319222663656,0.01739458585386687,0.004729373915199858,0.002295288536018192,0.0042317615293396985,0.4881726583378965,0.013321926631783079,0.0012977504835784827,0.005305123783137232,0.00384518661801032,0.2822202477657307,0.0664559285066714,0.002355176803531321,0.0017056589837644706
2024-09-30,0.0030145295655113345,0.0008328067344891087,0.010340571791738199,0.0010563736084270485,0.00827170594810001,0.0014444620834741808,0.0028556441040812493,0.05678410726701037,0.009435864018199902,0.009624379471085867,0.019659391975935296,0.0042942016602725555,0.0025598809647299774,0.0037574264527384864,0.5016687670233225,0.013714606552495475,0.0018921326065575949,0.0055395201417515975,0.0037788974610398493,0.2657037277293644,0.06939215172917437,0.0027038440753906147,0.001675007035110064
2024-12-31,0.0034564671826881593,0.0009192861572299371,0.01244541547939508,0.0011997050115573713,0.00902643907831809,0.0014978024458315354,0.0033589301898786167,0.05109490608483005,0.011362450056106631,0.009539117896773246,0.027813283105846076,3.0480310252982e-20,0.0029303770277216896,0.0059741408095844726,0.4505501924602989,0.01891303251197533,3.0480310252982e-20,3.0480310252982e-20,0.005847342718932068,0.2999262528893429,0.07880745176529003,0.0034351309655110715,0.0019022761628886067
