,TMT_capital,VKC_capital,SVC_capital,SRC_capital,HUT_capital,HTL_capital,HHS_capital,CMC_capital,DRC_capital,HAX_capital,CSM_capital,GGG_capital,DAS_capital,CTF_capital,FTI_capital,GMA_capital,VVS_capital,VMA_capital
2022-06-30,0.02210495815152704,0.0024393857150689,0.08482663640676798,0.011017497168137559,0.5875301572482171,0.004322642044318983,0.04690024487072019,0.0010295766565111611,0.07526516075325408,0.031023646189642127,0.0453118003124752,0.005264270208944025,0.0014233436468300336,0.054449648619443035,0.0005032022993843553,0.02633188379823942,2.633188379823942e-20,0.00025594591051888717
2022-09-30,0.015667244940295717,0.0018148939274429971,0.0946820672864301,0.011802766138849502,0.5595139309992659,0.00468128080389913,0.0541099981306792,0.0009437790371630093,0.08446309459219171,0.04397856436162695,0.04310152235662081,0.0051104267066670915,0.0013655730380110428,0.052427951361184694,0.0007557071275834242,0.02530422056161692,2.8495743875694726e-20,0.00027697863047175276
2022-12-31,0.012695099093603333,0.0012034086283481701,0.13288624190339998,0.017562356996652977,0.4615664441112606,0.005224429290518542,0.04238228400575671,0.0009110841306969993,0.07939107890186632,0.04270123680771086,0.05220996219881132,0.005823015965759082,0.000745592520483438,0.09633768387009174,0.0005292650566005515,0.03257015732926471,0.014904148007597649,0.0003565111815770867
2023-03-31,0.02381193633095941,0.0007425436186665322,0.08353269446134859,0.02069839462629262,0.4963377699760758,0.0058843871127864985,0.04659382510799846,0.0010779648764626716,0.08239694898865241,0.04421327853363758,0.04616375839414431,0.0037018754875019198,0.0013147533973469118,0.09771461303107037,0.0005047058133470588,0.031058819282895923,0.013911762803797132,0.00033996815701548244
2023-06-30,0.027274101510173815,0.0007030135178328971,0.08068282160971274,0.014935425051504242,0.5228663038882172,0.004706183756684471,0.05037899288760374,0.000698156775049941,0.07616149762520455,0.04273976145500729,0.04201373911824013,0.004105161837293652,0.0010594377288170888,0.09158754476171455,0.0004380174897378543,0.026954922445406416,0.012399871417734822,0.0002950471240645838
2023-09-30,0.017962639263751985,0.0005205037764571663,0.06060185015629404,0.014694360991537574,0.5897132488060369,0.003582576252050258,0.05875381902790281,0.000806376316894781,0.07074277399170459,0.03710393640554978,0.03436619441781543,0.004043747991812824,0.0006830196187851914,0.07040231597750796,0.00038916422250139427,0.023948567538547343,0.011422765519089783,0.00026213972575977497
2023-12-31,0.01708624956394421,0.0005692172278047457,0.05576482563136218,0.024348871528320534,0.5317167249470393,0.0034896260307698186,0.07369505033472921,0.0008004432934000413,0.09099323746338871,0.0375989508943081,0.036390853687813904,0.0016474857173664813,0.001300646618973538,0.0846375879440617,0.0004255857304260352,0.028785285716965377,0.010462684536981012,0.00028667313234518796
2024-03-31,0.013292489723293555,0.0004414247888494269,0.0531426843304435,0.02265504087953775,0.49501615974957264,0.004665837146387724,0.0931108971712962,0.0008022266564193598,0.11150561704466903,0.03997833359054523,0.04309552449584514,0.003446201039372403,0.0015898153923794645,0.07667754428071002,0.0004125492035684734,0.027903535875456,0.011986226860435377,0.00027789177121868066
2024-06-30,0.01281808353413974,0.0006120116349667415,0.06498940885470425,0.02522519966987695,0.4373879666289629,0.00620948215599793,0.10661628972025418,0.001206726662256608,0.1166119992967199,0.050001898302692534,0.04387238412952068,0.004915695901767722,0.001271300664250273,0.0856917185831553,0.00041598341462883076,0.03090327238268237,0.010970373419057627,0.00028020504436536626
2024-09-30,0.007853476881820384,0.0006040654544043258,0.05127858434600368,0.024361991074854664,0.46091289626537313,0.008619669748339446,0.09893903571122291,0.0009502293883790325,0.11749792958912907,0.0566409954497909,0.03988334338022509,0.003036602610689517,0.0008281643483698684,0.08338356779210634,0.0004516406480339078,0.03355223663841644,0.010901347034664593,0.00030422363817668636
2024-12-31,0.00864020935287023,0.0006744975953985983,0.05632649038631237,0.024354605403180064,0.49593920994314294,0.012665177646241036,0.09504195340095316,0.001044947051938761,0.11126903751988981,0.05836570980038017,0.04290433771849964,0.0039043974796855643,3.494806193775121e-20,0.07654674006225648,3.494806193775121e-20,3.494806193775121e-20,0.012322686639251075,3.494806193775121e-20
