,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2021-03-31,7.736775338140333,1.0025921713289425,-12.72262068476163,0.11889240214794711,0.039415914051703436,-3350170.544041785,2413.7677227181644,18831.308968532583,0.2915232953182387,0.4653113247870465,1.127825617403879,1.127825617403879,0.07266209964623235,-3444.0015387370445,0.00986469318177978,0.0,-0.08739466797541531,2.761365886767333,1781.3509537280747,0.08296136719185555,0.06961009846869644,0.0,-0.2227426357545183,0.0,0.7020202259111962,-1.6786321788300316,1.8481843941856408,0.0036743430633504204,-0.009955425408082922
2021-06-30,10.744618865660264,1.4087035339118121,-18.985356721951263,0.12755212397581214,0.04038672956455942,-396567.5670042325,2451.6332540610774,19871.656866411297,0.3026950286757313,0.474627977601486,1.2139756396026593,1.2029590689952716,-0.021597033650827206,-3461.3954960347164,0.008994037854224141,0.0,-0.08948875184161856,3.121530155525188,1801.1654669289233,0.1227543279589997,0.07912204198396697,0.0,-0.09344248812460988,0.0,0.7616458940118371,-2.2213119916882382,2.142716487798031,0.0310136557663587,-0.003095286727838619
2021-09-30,13.002629924423976,1.7439564252039021,-20.130091175005305,0.13947121000861712,0.04437721410558731,580217.1701976316,2764.7709253872945,20023.213814362443,0.3057696993937475,0.4593296593372814,1.2134073239814867,1.2134073239814867,0.10859880027162946,-3105.006336301494,0.008323471698788271,0.0,-0.093160557753768,3.153791574636859,1712.6480425099433,0.11116956176245127,0.0714632528801006,0.0,-0.2689428072588181,0.0,0.7673134643735806,-2.7288689580774745,2.1608050975314863,-0.05781202561387605,0.016730722135570367
2021-12-31,12.331878284880224,1.5578134772016299,-18.908584309104498,0.13189448660173467,0.042237009605852804,1053715.7920397238,2686.5070286460477,21235.575605396243,0.30915252393220577,0.48206106373114443,1.2483388538214872,1.235806896153804,-0.008237208353465484,-3498.395918374464,0.0,0.0,-0.04972075075398208,3.112525899867925,1973.9361544363267,0.08719600207936022,0.05215475578097837,0.0,-0.351919635003959,0.0,0.6225077034844131,-1.1583236770913214,2.1294070143192063,0.046679241589888947,0.037460778309177475
2022-03-31,14.922334458556342,1.6799534564657588,-17.123710573818556,0.132886311262102,0.04179575046636773,875988.5129931729,2748.637319046095,22375.91769466064,0.3150214770431337,0.4719660503893437,1.2862159483300968,1.2862159483300968,0.050264060289306994,-3492.7550775376308,0.03929908679683534,0.0,-0.22033850699457885,3.3384409312224954,2010.420731710247,0.12429917225072762,0.09285843106461414,3.5085118901545404e-17,-0.1106915727274623,0.0,0.8035085118901542,-3.123718064251136,2.31305285376109,-0.027078737783529806,0.022715137142923593
2022-06-30,-165.68122165450455,1.6185473882278316,-13.07205484913704,0.10514751674375629,0.03226909897739682,-686374.4417804097,2061.2241560655348,21623.67334075555,0.29084574600452784,0.4288920932407418,1.228002879191817,1.228002879191817,-0.21941542195480165,-3540.4008377983373,0.045608291628518746,0.0,-0.3465905302850394,3.609081931126462,1862.7826228307881,0.09709927679301115,0.08337731046201853,9.97679851351819e-17,-0.26970354614561953,0.0,0.6319543675072494,-0.8078587113778867,2.5757816488523777,0.010451832721295835,-0.035323713355319045
2022-09-30,8.354255280920883,1.3730076798545792,-14.985572273677693,0.08465669333632074,0.027480263805607707,-167581.5781489315,1624.007016222643,21205.517250549183,0.29799453033377565,0.451122481436183,1.2154113869146213,1.2154113869146213,5.82144123039153,-3530.184424552768,0.0552881916762519,0.0,-0.2652232859374315,3.579314341106214,1569.9796445446727,0.08773740078600653,0.07270712990291693,8.82485418634028e-17,-0.30541079709948804,0.0,0.6997445932638735,-1.0139546544251252,2.5411212817258266,0.039345419958115316,-0.012096215781468939
2022-12-31,8.697604605210616,1.3504649831935596,-16.310427237129748,0.0804220549557779,0.027574616902060596,-115634.07810079162,1691.1609165147051,22224.682285025458,0.30090941158125156,0.4394632435399538,1.2270857763731529,1.2270857763731529,0.10493004121633119,-3086.549102149906,0.0,0.0,-0.062190230920936646,3.5872225732108394,1827.5550565337194,0.1529643792866716,0.11262473338954718,0.0,-0.341068986945567,0.0,0.6449042060545366,-1.4020449027998674,2.5345804868519037,-0.1137150073623908,0.01660046863676745
2023-03-31,7.42372761196633,1.3148228081409359,-16.515231294715626,0.08450924989677853,0.029011547942214513,-2470054.730592096,1944.1512298725088,23081.495363162823,0.2987603529485344,0.4550689352701739,1.1648712330201039,1.1648712330201039,-0.007346395280996877,-3098.918008062677,0.06248134923950958,0.0,-0.5068752604906936,3.609540610562005,1190.3442476845967,0.12486141244668812,0.08810298902951269,0.0,-0.38257519004758206,0.0,0.7998106873743354,-1.9189537057789572,2.557882644511728,0.05444975954201342,0.029738877989868035
2023-06-30,1.1194017968555947,1.3001914181004839,-13.972609641592804,0.11385697731325045,0.03584300610581299,-792443.870182087,2580.8572867221583,22969.50359808121,0.2975524879257691,0.4429987744733664,1.193758907907344,1.193758907907344,-0.11897615765029752,-3121.454080756713,0.07313351166732045,0.0,-0.7880012406329095,3.609300154995189,1393.8177540468037,0.14950353600760774,0.11694962149786155,5.27262992116921e-17,-0.3320444310652658,0.0,0.7999999999999998,-1.8712599737390576,2.5785542070739567,0.004724481063443484,0.011131652246567031
2023-09-30,11.230854940144479,1.169768244779711,-14.897591469665942,0.12150467895007204,0.03818841326575652,-1494575.1395531949,2779.3119899610642,21838.55587267598,0.29094392880081543,0.43991940441852634,1.1699512476130047,1.1699512476130047,-0.2770631925206041,-2927.2051266363587,0.06368858958467849,0.0,-0.6022581069720545,3.2301538507404803,1404.5745523271476,0.07599085121604897,0.060432600674257556,0.0,-0.2389789813193022,0.0,0.7740916152948819,-1.916636096894481,2.2166391460931316,-0.021703245623049275,0.032327887883171834
2023-12-31,10.495959393171633,1.1575077919790824,-14.8349826481461,0.12334062494003811,0.038229707104942334,-1417234.545401753,2787.181728179853,21985.517359796613,0.29685674880388035,0.4492660044241233,1.1519928170481852,1.1519928170481852,0.15712286231941175,-2958.2812790432376,0.014270363240796,0.0,-0.029805697156443628,3.1464626854717617,1514.1794235384523,0.13586034876340952,0.11132494390418439,0.0,-0.19103094580485735,0.0,0.7080440736121034,-1.3968195413457856,2.145606056007961,0.024265876942044854,0.02286225359277121
2024-03-31,10.13334388143273,1.195846947322172,-16.418232641089517,0.1268720761927549,0.03807440569011693,-2750293.940917111,3026.2123303343096,23300.360506465237,0.2943333142093003,0.46309137981771786,1.2117707308795183,1.2117707308795183,0.045195520010570374,-3082.5478773016166,0.06523109288496604,0.0,-0.7662103764775048,3.25177169360072,2022.5263754234009,0.07823527988008575,0.0621955241667877,0.0,-0.23872745264975007,0.0,0.7545716557546942,-2.223742019621203,2.237923883578211,0.012840147696210055,0.029692110567660777
2024-06-30,10.693796219242818,1.33891697718185,-14.565964161802466,0.13372803328750313,0.03978165994044011,1391283.136403198,3189.197083484124,24036.27634011588,0.29617668115398826,0.4517772206863494,1.2161170014261935,1.2161170014261935,0.040223100405085054,-3248.625318188108,0.05282940603022107,0.0,-0.8469254147372247,3.302621895715163,2134.6837577865167,0.08721700012127204,0.07830696512467367,0.0,-0.2875713794623106,0.0,0.7661143235649419,-2.032159254499549,2.301558893121795,0.014847338933951234,0.006148680751528284
2024-09-30,-0.15658884342330182,1.208862826654338,-15.421843649892145,0.11649779544997453,0.03362306880995923,3953192.9850502694,2805.981805195178,23230.406560689902,0.2732474342037018,0.40757593421374505,1.13130978708575,1.13130978708575,-0.14960387313442688,-3249.9388763177058,0.0674355010959263,0.0072498173130183296,-0.8873293807516852,3.6025041156079687,972.9550625086022,0.07014365911415199,0.06074478319259091,0.0,-0.25273357682657704,0.0,0.6504736842884556,-8.888634672495883,2.5774046270868194,-0.012461207096566137,-0.01886602493717458
2024-12-31,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
