,VNX_capital,TPH_capital,STC_capital,SGD_capital,SED_capital,SAP_capital,QST_capital,PNC_capital,HTP_capital,HEV_capital,DST_capital,LBE_capital,IN4_capital,ALT_capital,DAE_capital,EBS_capital,ADC_capital,DAD_capital,BST_capital,EID_capital,BDB_capital,FOC_capital,FHS_capital,BED_capital,ODE_capital,ADG_capital,IBD_capital,ECI_capital,IHK_capital,NBE_capital,VNB_capital,SMN_capital,STH_capital,VEF_capital,CAB_capital,VNZ_capital,YEG_capital,VPR_capital,EPH_capital
2019-03-31,2.1718584468114532e-05,0.0004841286103363727,0.0019820878644916983,0.0008912927287187985,0.0031925429062207543,0.00023914179072814638,0.0005544766482788584,0.004700827389057642,0.015252855059246334,0.00027444932558751286,0.00162414660353086,0.00033289961438831296,0.002500841595148139,0.0015220811246096661,0.0005208899848664191,0.002062078716576448,0.0009494463155459904,0.0015994906695240253,0.0012591438355981483,0.00418349782787452,0.0002398835456621667,0.04195484587608288,0.005047256613442485,0.0024015057743841397,2.96701973608122e-20,2.96701973608122e-20,2.96701973608122e-20,0.0005191097730247704,0.0005221361331555732,0.0007091177169234117,0.033845387533425704,0.0007976535858480754,2.96701973608122e-20,0.6317224137037858,2.96701973608122e-20,2.96701973608122e-20,0.23604392542170397,0.0017179044271910264,0.0003308227005730561
2019-06-30,0.0006693396372778254,0.0005479437518293336,0.002243355665698768,0.001198175710318724,0.0038257334024120143,0.00038853399575077463,0.00070063727634781,0.0040112021369436935,0.022195802059760763,0.0002904770149735696,0.001189444609290617,0.0005413282637426523,0.0035256185951497254,0.0018413892068278284,0.0005710475883960174,0.0018570380263628209,0.001173997276702427,0.001799278434946111,0.0014251171747339132,0.004523381955715587,0.00027150366081633647,0.04378391948796525,0.00606072735981848,0.0028611146445951595,3.3581157800412677e-20,3.3581157800412677e-20,0.002946746596986212,0.0006231991264600584,0.0005909612149716623,0.0006716231560082535,0.039446778633410756,0.0009027958463062944,3.3581157800412677e-20,0.6489760231876551,3.3581157800412677e-20,3.3581157800412677e-20,0.19635440264426096,0.0016320442691000559,0.00035931838846441566
2019-09-30,0.0005854937718674031,0.00042431078055331806,0.0013185664150555019,0.0010240400872661246,0.0032323561308344384,0.00031714245976151,0.000646568808462199,0.003797099314610659,0.010011943498932594,0.00028987681842454764,0.0011089940855370812,0.00080189686205761,0.002968797831468832,0.001719371342708849,0.0005131393699616323,0.0016617690878001294,0.0008943130358523667,0.0017832877461377073,0.0012179992495347479,0.0045332716307086435,0.00023204495811509582,0.03937457096078323,0.005429708516517784,0.002129303085041306,2.870067509153937e-20,2.870067509153937e-20,0.0025184842392825795,0.0006948433439661682,0.0004291324939686967,0.0006084543119406347,0.03507796509687942,0.000796845543241499,2.870067509153937e-20,0.5685242107127796,0.16665454541488636,2.870067509153937e-20,0.13699061826592476,0.0013948528094488133,0.0002941819196882785
2019-12-31,0.000717689202376969,0.000452504143975653,0.001479453483712606,0.0011802326698932076,0.003393046495168087,0.00017109700790204953,0.0006895301241533761,0.004320459614923382,0.030907649119765585,0.0002788360898010145,0.0007884541902606077,0.0011239145134460213,0.0025541508256547818,0.0014306036045334159,0.0005704968032712524,0.001576296226646789,0.0010247455857890194,0.0020859143271063823,0.0011568483918901367,0.004540651363554392,0.00024746320373668525,0.04165854032398366,0.005567172195579247,0.002683070431608884,3.0607693721296876e-20,0.023069263619291226,0.002685825124043801,0.0007410122649925974,0.0005540604717429161,0.0006672477231242719,0.03533046086249299,0.0008753800404290907,3.0607693721296876e-20,0.5558173533625184,0.17772791988521874,3.0607693721296876e-20,0.09011302931568176,0.0014875339148550282,0.00033209347687607107
2020-03-31,0.001030561920362169,0.0005170701301817133,0.0027219665602422915,0.0014194082004988205,0.00415585851788906,0.0002492058215161495,0.0009174182174652641,0.004563917075889605,0.0391061442994573,0.0004532564001592873,0.0013716970004820537,0.0014620074862280769,0.0030298315982076264,0.002263044455081013,0.0007171163759663009,0.0022023830722025517,0.0010888377432397916,0.0023024913936663042,0.0007816116945603951,0.0056486652876993875,0.0003786224515616302,0.04794668886827841,0.007748298882722975,0.0030645926153626997,4.2599285729256324e-20,0.03249942107570694,0.003906780494230097,0.0011248767389667423,0.0009733084803420486,0.0009627438574811928,0.03181740651118155,0.0012726962604472619,0.011845583382734304,0.3690461321296933,0.2473588016855004,4.2599285729256324e-20,0.16148494634960758,0.0020703252864418572,0.0004962816787458361
2020-06-30,0.0007302379358607679,0.0003812371379830729,0.0016230997243057708,0.0009704835021197939,0.002700811473512927,0.0003271705745782639,0.0006089840530784348,0.0027088705585392708,0.025699149661903006,0.0002717466915900705,0.004552676102601597,0.001128837453514632,0.0020112082926797264,0.0015376734230265197,0.0004899923696017421,0.0014845682943266077,0.0009784011996895358,0.001449984922441628,0.0003001655703671799,0.003618105014458847,0.00025133034285666463,0.0466298094074463,0.006127845479119109,0.002224307467271066,2.827749132050682e-20,0.024853030566610795,0.002295566745398743,0.0006560943536183992,0.0005718557069746094,0.0006687626697299862,0.030528662404532367,0.0007639447055148122,0.007526761252235902,0.54176845620959,0.16419726875629034,2.827749132050682e-20,0.11563938688064661,0.0013742860781766314,0.00034922701780825923
2020-09-30,0.0007816125794095647,0.00043940396303594704,0.001813484768265032,0.0010026338159485231,0.0030786810137388753,0.0003589600871051934,0.0006607320030681577,0.0026806034812440135,0.029572788714589394,0.0003307341657259816,0.003358884644126203,0.0012247595450631899,0.0031875655734941175,0.0016298628775535296,0.000531629093107589,0.0018132086451211052,0.0010050882438945414,0.0016049197535521174,0.0003283717788279389,0.004394960040839227,0.0002726869448026461,0.04926552317527625,0.006876325333565196,0.0024133162779226077,3.068034932523021e-20,0.027857818548007673,0.002490630758222188,0.0007295173462553238,0.0008575464439895095,0.0007562706108669245,0.030622977071992023,0.0008882574736640649,0.008974002177629834,0.5136902928571269,0.1781498049665534,3.068034932523021e-20,0.11470554243271792,0.0012609623572669615,0.00038964043643042356
2020-12-31,0.0007552871331193245,0.0005815434985043233,0.002428567434950354,0.0009657899144793031,0.0038249222613031346,0.000610681445924158,0.0007989119292563488,0.003295905908147532,0.030156297329659878,0.00038730146570445525,0.00296175573773653,0.0011825998952807795,0.002967931537189663,0.0015803476600602148,0.0006041771465001138,0.002404619787070918,0.0012666958878340794,0.0020241182707643273,0.00039061931541065976,0.006095316960259683,0.00029197077414598805,0.04834310691921789,0.00662676421320003,0.002583980771188503,3.2849997091132764e-20,0.03983140987292866,0.0031250202232794596,0.0008337329261729495,0.001002351961241734,0.0009132299191334908,0.027212280590352557,0.0011592106973518932,0.0086477617342407,0.48051267545060267,0.19074817280924936,3.2849997091132764e-20,0.12047703583175849,0.0019167973302675967,0.0004911074565124348
2021-03-31,0.0006710267737919975,0.0004447315143728706,0.0019467561995793448,0.0008872595695498392,0.00320816314059333,0.0003978467992600686,0.0006925717081519274,0.0024431955564160474,0.03888224097088525,0.00028644969546724936,0.0035475693054020886,0.0006864999539232198,0.0026973278503434014,0.0014904198001080575,0.0006028664359987648,0.0017994916766532333,0.0013308893543247586,0.0017122346924955175,0.0003713808060292911,0.005376440438000681,0.0002580005889601602,0.050220066814758706,0.0035850770774923297,0.0016929911488513074,2.448287995446576e-20,0.024687752693924724,0.00242380511549211,0.0006019850523204041,0.0006771230109006595,0.0009132114223015728,0.0435545537813955,0.000916736957015016,0.005442544213877739,0.5751175398583733,0.14216331902455898,2.448287995446576e-20,0.07597160064270497,0.0018619230205371212,0.00043640733518835216
2021-06-30,0.0007412162243995786,0.0005420244569057049,0.002278149866169293,0.0009463021949850829,0.003456667514463003,0.00031489578160766416,0.0008199132556321265,0.0026858187895890616,0.06201509077476474,0.0003369654004895688,0.0036398722653521796,0.0007282974231028539,0.0029651878676307327,0.0014175154722831159,0.0007154055359754974,0.001978191448560967,0.0018473885854316295,0.001802576493433616,0.0004203993255309157,0.005603530062454331,0.0002599370477578479,0.046045622208496,0.004564643124842721,0.0018199361326760898,2.6914169368176424e-20,0.02323435647548187,0.0027081037218259114,0.0016844502040766897,0.0006980189825636554,0.0010133184767118421,0.031980761751735635,0.0009983003702043998,0.006560328783493003,0.5806651298675959,0.1562809462483667,2.6914169368176424e-20,0.04380442549686922,0.0019364744860402936,0.0004898378825008108
2021-09-30,0.0004773070568684195,0.0005418080104992871,0.002513806678213736,0.0009596483345080286,0.004252657996462465,0.00042607337256162474,0.000816382801727923,0.0024522947931657625,0.06883982265803658,0.00035921262794426205,0.004052547720807675,0.0007928897714623712,0.0028886988062682656,0.0016126025004712372,0.0007308272685175486,0.001990090398610912,0.0020052979405238806,0.002575580762260209,0.00034754477251103613,0.008074418158790914,0.00029245676292629925,0.04984151250436201,0.0032319697351037607,0.00312514986311508,2.621989984994614e-20,0.021922405824740265,0.002494299072725376,0.0020350837467534195,0.002015812120363709,0.001208737383082517,0.03436039215635892,0.0011179116500023036,0.0059309413460578156,0.578791179237636,0.15224957170449097,2.621989984994614e-20,0.031826238835861616,0.002349303026555174,0.000497522599652728
2021-12-31,0.000303224191170334,0.0003879643321043159,0.0017848927159857138,0.0006719294003351086,0.003053159459118232,0.00020632227075045666,0.000562651710174452,0.0025036859821403732,0.06695434089931543,0.0004595440723629445,0.007005327644045756,0.00047077856074434363,0.0019946031657718305,0.001790991438249902,0.0005316052906950617,0.0015960106510082863,0.0011705266942143454,0.001850587724235038,0.0002963943355352931,0.005558396870606512,0.00019890394191448521,0.033641978610960716,0.004309478413019737,0.0021254582066332697,1.783252124031605e-20,0.01870681409168626,0.002267761726130992,0.0005264160270141297,0.001622634605220078,0.0009593896427290033,0.02784904842100157,0.0008466167784052447,0.0039989428881408735,0.6619160830082464,0.10354706679991127,1.783252124031605e-20,0.036181650620964054,0.0017591782203571782,0.00038964058910090566
2022-03-31,0.00042549099725974944,0.00041231295604945224,0.0019139108185046122,0.001074210025930292,0.0030623471598883586,0.0005018304582103098,0.0005649253221868846,0.0017826295746293025,0.06415310061921985,0.0006871882600824203,0.007072215449526197,0.00047787038328249665,0.0018610988200178904,0.0017033616600764538,0.0005349086727634298,0.0015424298234779747,0.001207321553307032,0.0015937775951635523,0.0002534942649480793,0.005151416109479839,0.00020169724185760532,0.03771542083234338,0.005337239801697768,0.001983195368504205,0.009317806916371801,0.01686007244694711,0.0021159741170625034,0.0007484528405575649,0.0007086192159900755,0.0009841933555417715,0.022934616998784643,0.0008712149466807635,0.003504160958192681,0.6652914138289466,0.09661637319374106,1.6638940922092505e-20,0.0367916933881125,0.0016414315219644255,0.00040058250269937705
