,WSS_capital,VND_capital,VIX_capital,VIG_capital,VDS_capital,SSI_capital,SHS_capital,PHS_capital,PSI_capital,OGC_capital,ORS_capital,IVS_capital,APS_capital,HCM_capital,BVS_capital,HAC_capital,HBS_capital,CTS_capital,BSI_capital,APG_capital,AGR_capital,BMS_capital,DSC_capital,DSE_capital,AAS_capital,BCG_capital,TIN_capital,ABW_capital,EVF_capital,ART_capital,IBC_capital,FTS_capital,EVS_capital,SBS_capital,TVB_capital,CSI_capital,TVS_capital,VUA_capital,TCI_capital,MBS_capital,TVC_capital,VCI_capital,VFS_capital
2019-03-31,0.0022257512487049136,0.06654455853030532,0.04282972136729379,0.0009071153200487226,0.012837994822188437,0.25309928050670055,0.03685604852226222,1.3408947820380229e-20,0.0021650087150785918,0.02345224973784502,0.011038245845737005,0.009957216472457951,0.0032164043136746054,0.11092954352844155,0.009768391669251357,0.0013547328161886553,0.0010088892340054084,0.0121827934048412,0.01803896364012278,0.016250464770892644,0.01083107760191213,0.003289147855600168,0.023918988393576816,1.3408947820380229e-20,1.3408947820380229e-20,0.036233846525500935,1.3408947820380229e-20,1.3408947820380229e-20,0.0449769095907191,0.0033782503138665952,0.023260769962969993,0.023790423401875007,0.0118886949522968,0.00334177797579516,0.012205521571396741,0.006532839378089248,0.01343576571602099,1.3408947820380229e-20,0.006851328706718918,0.03902057451521928,0.014853413315382867,0.08752729575701874,1.3408947820380229e-20
2019-06-30,0.0019969241398500336,0.06916534452477395,0.04160427718477484,0.0008620842524070943,0.01443502221171913,0.25330599679803995,0.04065426416161226,1.4703807818643943e-20,0.002637863122664723,0.01720345514781341,0.015661319783794033,0.009388087216047784,0.003063244282858092,0.10830236686900381,0.009374059783388797,0.0014855551115332346,0.0018001871912365775,0.012747039777946622,0.01997775490322733,0.019397851426667834,0.011275232726723821,0.003679951390387656,0.01888110080468941,1.4703807818643943e-20,1.4703807818643943e-20,0.03740322284529445,1.4703807818643943e-20,1.4703807818643943e-20,0.041044238552578334,0.003419517546303835,0.02679151415019475,0.021949726681209123,0.015290313304914009,0.0032333673393198023,0.01244464126634839,0.00568155134112402,0.015371654769766749,1.4703807818643943e-20,0.006629064716957434,0.03933018626754337,0.016165689799589156,0.07834632860769614,1.4703807818643943e-20
2019-09-30,0.0013743648865288277,0.0634861089631916,0.03544651989153373,0.0007782842697388318,0.01537585996313302,0.2296814956472309,0.033679863493655954,0.020212094255689726,0.002407906838970251,0.016566583125261165,0.014592398636167545,0.010678830987114963,0.0024468785753152668,0.11027131892751964,0.008918890382917296,0.0016670699498374788,0.0007593017265744702,0.013087082963233658,0.016522937656697656,0.016881520773215346,0.012886040574265645,0.0032310014151485916,0.013135459686873742,1.4380714518455875e-20,1.4380714518455875e-20,0.05696057213615187,1.4380714518455875e-20,1.4380714518455875e-20,0.04418940470945965,0.002647633349992911,0.02416880404829768,0.02115948134745108,0.014812135954009549,0.0027406765729273207,0.01539534583130553,0.0043487280703810565,0.014265381188017857,1.4380714518455875e-20,0.008112563719867474,0.039488579224808716,0.02067129923169306,0.08695158102582064,1.4380714518455875e-20
2019-12-31,0.0015177487832758918,0.06986769207216463,0.035901817836478264,0.0007162338613136207,0.015706484505050643,0.2078381552864888,0.03409412932801384,0.01974804449098641,0.001899369618915943,0.016627424673954786,0.016915188699830677,0.01267463957238139,0.002214448993826414,0.10942655871386635,0.009287536292093829,0.001840991000862975,0.000838517691293995,0.012492373141643108,0.02168349578025501,0.02041822340334639,0.01122012899832392,0.0032519240646001653,0.011350988577419802,1.5881016880568088e-20,1.5881016880568088e-20,0.056892377207183445,1.5881016880568088e-20,1.5881016880568088e-20,0.04058578083624989,0.003693289285744914,0.02669027221015795,0.021472373541844735,0.01554611799659067,0.0023281570746912813,0.014544740477186445,0.0035751345201534878,0.019360547679100552,1.5881016880568088e-20,0.009546396867247089,0.04134972127227273,0.024202828536154568,0.0826801471090356,1.5881016880568088e-20
2020-03-31,0.0017237205016335082,0.07433853082469745,0.043421029184507146,0.0004829758612305617,0.017799641651187165,0.18028405149023863,0.03413754775571077,0.018376642524870153,0.0025615925943758395,0.014392894844653548,0.014680752741546618,0.011148068105122278,0.003146518127422697,0.077104793810644,0.009896828645561772,0.0023765410892302935,0.0011308703092227786,0.012070605545068351,0.02981693779853477,0.02289172790643522,0.009273008027637098,0.0032131495200740617,0.01346626656703585,2.1417998280734445e-20,2.1417998280734445e-20,0.04034354126554326,2.1417998280734445e-20,2.1417998280734445e-20,0.07200414035608364,0.0039432676634660185,0.03875800968881705,0.02542085081541746,0.019836835975657503,0.0028258906931601024,0.023409336670885725,0.0044617974018426,0.021532370391553562,2.1417998280734445e-20,0.007724872275909052,0.03678712548702387,0.05154014255476967,0.053677123333229965,2.1417998280734445e-20
2020-06-30,0.001789622133222467,0.06808920081215604,0.04793825551199127,0.0006112805695982829,0.013462573542363954,0.21109061517782204,0.05579900512054214,0.021372794859984303,0.0022289376867059337,0.016772942458489468,0.020948896859669754,0.007995441419202373,0.0032764841838861395,0.10027169964275158,0.009614657233993035,0.0020481287554766406,0.0009896036050508785,0.013150901775226204,0.023586213339324605,0.01882791592987846,0.011605046405733786,0.002794677176174499,0.01259536159016169,1.694236611968633e-20,1.694236611968633e-20,0.04667665916125495,1.694236611968633e-20,1.694236611968633e-20,0.05438045469007304,0.004268459720193774,0.03340763520944229,0.03420562065367951,0.012564458714359383,0.0029805010477752187,0.009344257070722839,0.0037002127605394943,0.015901088297970406,1.694236611968633e-20,0.005092197560932923,0.03595780015777748,0.013342181088717462,0.06131821807715564,1.694236611968633e-20
2020-09-30,0.0015009550039840548,0.05802078153991906,0.07181084972092898,0.0006728933467165098,0.012096210754590818,0.2057205320526052,0.04985546967073962,0.017456434936991495,0.0029199854803694863,0.025513251061756795,0.01654332910951809,0.0058361731349562546,0.0027243974525595267,0.0953145762154053,0.00967544947335957,0.0015367088209956394,0.0008325376662257481,0.010790504686828978,0.02060742317059478,0.018348652722659946,0.01364393327035634,0.004002162373491372,0.013944748199674596,1.35636635097059e-20,0.012696945411435694,0.05479880109150598,1.35636635097059e-20,1.35636635097059e-20,0.05034462963155366,0.003154365585817204,0.02437553096656267,0.024562818032304683,0.0090752844903821,0.0025849629916797506,0.007830506399105862,0.003190173657482828,0.013092461839378717,1.35636635097059e-20,0.008670816044522672,0.031235353786596424,0.011324899465447883,0.07334270275038815,0.010351787990607543
2020-12-31,0.001447171977168984,0.07603786657983849,0.08182635469119043,0.0008650424939737731,0.011360875437069635,0.23678148696537046,0.06122064928360153,0.010285566239322303,0.0029152827138927656,0.019180543103631334,0.01646074209153641,0.004437098971306716,0.0028390400550558316,0.08527669463874492,0.00928993621438464,0.001183151801347499,0.0008914157407412662,0.013428857659359486,0.017312845710808194,0.012187253152903671,0.01354784096174568,0.0020001470348466758,0.009133007404225098,7.99189295984639e-21,0.00884143118147806,0.053532272434584194,7.99189295984639e-21,7.99189295984639e-21,0.0392679742527742,0.00255556761177008,0.014894331071406518,0.017479748403381627,0.007164827941217808,0.0060923798411501,0.007211924166430182,0.002443601191402632,0.011331145595259006,7.99189295984639e-21,0.004563882361221718,0.029508066780992832,0.008568460085541546,0.08912633353425221,0.007509182625071668
2021-03-31,0.002235835433255222,0.06755884136917993,0.09714260104629958,0.0018137720181353777,0.014487527807360944,0.20045689528853616,0.06121996675195801,0.010085918621093565,0.0031222250494622765,0.015155336270100718,0.023019177793938455,0.004211038593783479,0.005288069358043662,0.07411721436226909,0.0100404949456248,0.0014606978386063367,0.0012177185693001318,0.012422069962676668,0.01805486677640974,0.008724252579455168,0.01633749483251011,0.0025734649986803282,0.01884251387348269,7.055556922765699e-21,0.00808143489933583,0.057507389143654074,7.055556922765699e-21,7.055556922765699e-21,0.042448671670053714,0.006768466311578361,0.014205940530573367,0.0162951262131889,0.010395036680993775,0.008378191623507353,0.008360108231114306,0.0018372670226881878,0.014363208894381814,7.055556922765699e-21,0.004241236377412916,0.03550638465812609,0.00859382355418092,0.08638545201735871,0.007044268031689273
2021-06-30,0.0020240886764114024,0.10434718999547071,0.057490035567926034,0.0011136511753416616,0.015500987257665806,0.22941971919190043,0.061653931310513145,0.008772849551995471,0.0027345134386725528,0.00843675132834592,0.029899297975864228,0.0031734988736433975,0.005370483792724047,0.08109158447498926,0.008745769637975707,0.0010828856127741212,0.001133268336966921,0.011287504451986794,0.01790422673970854,0.007637852709878353,0.012430366449813806,0.003290250708285851,0.012801985911576417,4.572764947612965e-21,0.009749592144805601,0.034453552370969254,4.572764947612965e-21,4.572764947612965e-21,0.028659090957832426,0.004519629418921702,0.008255852747018351,0.02543034393809197,0.015637027014857294,0.010457730524592946,0.007022715223595561,0.001014056354782651,0.011279136292132662,4.572764947612965e-21,0.005672002767839749,0.04372276641249821,0.007137061783875571,0.09443928415541382,0.005207464722341643
