,VTC_capital,VIE_capital,ST8_capital,SMT_capital,SAM_capital,PMT_capital,POT_capital,ONE_capital,LTC_capital,KST_capital,ELC_capital,CKV_capital,PMJ_capital,VEC_capital,VTE_capital
2021-12-31,0.004681140653874083,0.004250902274845592,0.02009813847743173,0.006966347922541075,0.7365615675614808,0.003583685491413945,0.028329379062647448,0.005028926891508508,0.001879483896990554,0.004804941441001938,0.10700604589111318,0.0038635651586831914,0.00257701757284757,0.06084624824778984,0.009522609455830576
2022-03-31,0.008896827655248785,0.005051249612870858,0.021587235195095946,0.010632956622870124,0.6611765754584694,0.004176518698575631,0.03423516804928435,0.007516019432454394,0.001664702926715358,0.00790829124911003,0.13486188870260976,0.006818806038490827,0.0034541633382131603,0.08050571922594743,0.011513877794043868
2022-06-30,0.00899614376208482,0.006747653042397681,0.045212619405180066,0.010235612458194286,0.5790099865555812,0.006518660292090069,0.08002068058971668,0.007787498217127874,0.0012038476016171687,0.010546751814167803,0.11517724693138812,0.009939012324462518,0.005278610027090934,0.09488587219413003,0.018439804784770808
2022-09-30,0.009576086117145296,0.006523154079297571,0.049718265295077585,0.011783246461868407,0.599042982948827,0.0063378517367018395,0.08129544723815571,0.00822253164569105,0.001176725833912503,0.008010049494431576,0.11133936821014404,0.01016205081569004,0.0035196253407268814,0.07703077537758748,0.016261839404743003
2022-12-31,0.010453239828185162,0.00422710042504389,0.042882821417221564,0.008397490524467996,0.4981347755787015,0.008133351277062004,0.07464300304730753,0.009632248806520291,0.0012040038362354114,0.015521179888860847,0.12591197292387313,0.014456770700304903,0.004801619646899701,0.162409647909581,0.01919077418973486
2023-03-31,0.012024816876971742,0.00324995050728966,0.09526072250010832,0.009112606324361203,0.4681628051023798,0.007015219964297276,0.06313145688696374,0.008390395100519057,0.001074820233129783,0.015676231858691304,0.17251820609529278,0.008929929367742308,0.009130449189891423,0.09862006676630349,0.02770232322605806
2023-06-30,0.008996181657971664,0.006657621998125795,0.1231734664857733,0.007487493647752121,0.49747541854903005,0.0062320563566769715,0.06624315239334051,0.007955578555743598,0.0011151983066888587,0.013471893925619257,0.1492860772713074,0.009607862334550169,0.007213729247381008,0.07841447892918584,0.016669790340853464
2023-09-30,0.007556340995373959,0.006402013714390504,0.0834581353057139,0.006403832985124916,0.45489045443199827,0.00731874423745995,0.051599611985937766,0.007904731341013568,0.0019247884370062953,0.013196989907413673,0.2517166638649897,0.008827101603359686,0.006192433725786417,0.07330933351380498,0.01929882395062645
2023-12-31,0.006763785511996909,0.006582908385310739,0.07987635817067838,0.005324411194001334,0.4233713628199848,0.006499518085589698,0.05571592950038001,0.007379447093440445,0.0036718905905680646,0.013583617457614886,0.2949749277128385,0.008240524119073197,0.00718413376415491,0.0662061234974673,0.014625062096900888
2024-03-31,0.007430583438965002,0.004726255452675018,0.045468093900333455,0.004726255452675018,0.424503671567538,0.006126103235235591,0.05981872409300124,0.008119723717091234,0.003100288781790386,0.01260671775291069,0.33194067462620874,0.009435661509796828,0.005307559599260716,0.06346830316982623,0.013221383702691741
2024-06-30,0.008151704514944468,0.005774124031418997,0.03795087498196597,0.004981597203577174,0.42531194826384866,0.006181709257166221,0.057734770707432076,0.008688681875849539,0.004761630573808831,0.014226665260605465,0.3253718891704605,0.00996319440715435,0.006026438694976803,0.07225903787890059,0.012615733177890248
2024-09-30,0.006340560950360963,0.0057141440853855415,0.0343792514437296,0.005041891840046067,0.4212441216124683,0.005490060003605717,0.05796308248704811,0.007241990097520714,0.003435955920623986,0.012120911696272363,0.350698378412147,0.009506597408841069,0.005500245643686618,0.06022768979836846,0.015095118599895496
2024-12-31,0.006500129474123671,0.0038630850777108964,0.031916692649569034,0.005425582325284798,0.42640144729170076,0.006818970513369305,0.05365337222841701,0.006818970513369305,0.001539597062434712,0.011097782028991634,0.36317491689875114,0.009089611947555053,1.7615527030145453e-19,0.059410126461868544,0.01428971552685399
